Date,Transact. No.,Symbol,Buyer,Seller,Quantity,Rate,Amount
2019-11-17,2019111701005821,ADBL,39,6,"1,000",415.00,"415,000.00"
2019-11-17,2019111701005783,ADBL,17,57,30,416.00,"12,480.00"
2019-11-17,2019111701005937,AHPC,28,46,700,95.00,"66,500.00"
2019-11-17,2019111701005920,AHPC,55,8,120,94.00,"11,280.00"
2019-11-17,2019111701005694,AHPC,55,48,519,94.00,"48,786.00"
2019-11-17,2019111701005800,AKBSL,40,54,10,432.00,"4,320.00"
2019-11-17,2019111701005533,AKBSL,40,1,20,432.00,"8,640.00"
2019-11-17,2019111701005519,AKBSL,40,40,10,432.00,"4,320.00"
2019-11-17,2019111701005865,AKJCL,56,7,10,57.00,570.00
2019-11-17,2019111701005855,AKJCL,56,22,10,56.00,560.00
2019-11-17,2019111701005854,AKJCL,56,22,10,56.00,560.00
2019-11-17,2019111701005818,AKJCL,6,54,20,55.00,"1,100.00"
2019-11-17,2019111701005622,AKPL,25,6,20,125.00,"2,500.00"
2019-11-17,2019111701005918,ALBSL,22,11,61,407.00,"24,827.00"
2019-11-17,2019111701005450,ALBSL,36,43,40,405.00,"16,200.00"
2019-11-17,2019111701005874,ALICL,28,19,315,315.00,"99,225.00"
2019-11-17,2019111701005768,ALICL,28,56,62,315.00,"19,530.00"
2019-11-17,2019111701005767,ALICL,49,56,59,315.00,"18,585.00"
2019-11-17,2019111701005665,ALICL,49,19,300,315.00,"94,500.00"
2019-11-17,2019111701005638,ALICL,51,58,"1,000",316.00,"316,000.00"
2019-11-17,2019111701005637,ALICL,8,58,221,316.00,"69,836.00"
2019-11-17,2019111701005741,API,25,57,40,105.00,"4,200.00"
2019-11-17,2019111701005739,API,25,51,980,104.00,"101,920.00"
2019-11-17,2019111701005649,API,25,51,20,104.00,"2,080.00"
2019-11-17,2019111701005859,BBC,34,52,10,"1,393.00","13,930.00"
2019-11-17,2019111701005696,BOKL,22,11,163,221.00,"36,023.00"
2019-11-17,2019111701005695,BOKL,22,50,337,221.00,"74,477.00"
2019-11-17,2019111701005578,BOKL,56,21,380,220.00,"83,600.00"
2019-11-17,2019111701005601,CBBL,58,36,10,979.00,"9,790.00"
2019-11-17,2019111701005894,CBL,1,49,92,138.00,"12,696.00"
2019-11-17,2019111701005893,CBL,58,49,208,138.00,"28,704.00"
2019-11-17,2019111701005851,CBL,58,52,100,138.00,"13,800.00"
