Date,Transact. No.,Symbol,Buyer,Seller,Quantity,Rate,Amount
2019-02-26,2019022601003662,ADBL,33,8,500,332.00,"166,000.00"
2019-02-26,2019022601003602,ADBL,49,8,34,332.00,"11,288.00"
2019-02-26,2019022601003523,ADBL,49,7,466,332.00,"154,712.00"
2019-02-26,2019022601003506,ADBL,14,40,79,331.00,"26,149.00"
2019-02-26,2019022601003505,ADBL,33,7,34,332.00,"11,288.00"
2019-02-26,2019022601003488,ADBL,14,48,14,331.00,"4,634.00"
2019-02-26,2019022601003190,ADBL,36,26,25,332.00,"8,300.00"
2019-02-26,2019022601003423,ADBL,33,11,908,332.00,"301,456.00"
2019-02-26,2019022601003422,ADBL,33,34,500,332.00,"166,000.00"
2019-02-26,2019022601003421,ADBL,33,38,650,332.00,"215,800.00"
2019-02-26,2019022601003420,ADBL,33,25,100,332.00,"33,200.00"
2019-02-26,2019022601003220,ADBL,14,5,103,331.00,"34,093.00"
2019-02-26,2019022601003191,ADBL,36,38,75,332.00,"24,900.00"
2019-02-26,2019022601003625,AKJCL,6,25,10,82.00,820.00
2019-02-26,2019022601003199,AKJCL,53,48,20,81.00,"1,620.00"
2019-02-26,2019022601003667,ALICL,35,58,21,549.00,"11,529.00"
2019-02-26,2019022601003658,ALICL,49,44,297,550.00,"163,350.00"
2019-02-26,2019022601003657,ALICL,33,44,40,550.00,"22,000.00"
2019-02-26,2019022601003656,ALICL,52,44,100,551.00,"55,100.00"
2019-02-26,2019022601003655,ALICL,11,44,63,551.00,"34,713.00"
2019-02-26,2019022601003582,ALICL,49,44,10,557.00,"5,570.00"
2019-02-26,2019022601003249,ALICL,57,54,100,551.00,"55,100.00"
2019-02-26,2019022601003248,ALICL,35,54,200,552.00,"110,400.00"
2019-02-26,2019022601003247,ALICL,32,54,200,552.00,"110,400.00"
2019-02-26,2019022601003246,ALICL,28,54,100,552.00,"55,200.00"
2019-02-26,2019022601003188,ALICL,28,44,100,552.00,"55,200.00"
2019-02-26,2019022601003282,ALICL,42,54,30,550.00,"16,500.00"
2019-02-26,2019022601003281,ALICL,35,54,190,551.00,"104,690.00"
2019-02-26,2019022601003280,ALICL,46,54,50,551.00,"27,550.00"
2019-02-26,2019022601003261,ALICL,42,54,170,550.00,"93,500.00"
2019-02-26,2019022601003260,ALICL,42,54,30,550.00,"16,500.00"
2019-02-26,2019022601003259,ALICL,57,54,400,551.00,"220,400.00"
2019-02-26,2019022601003322,ALICL,11,28,37,551.00,"20,387.00"
2019-02-26,2019022601003285,ALICL,17,54,100,550.00,"55,000.00"
2019-02-26,2019022601003284,ALICL,33,54,100,550.00,"55,000.00"
2019-02-26,2019022601003283,ALICL,38,54,50,550.00,"27,500.00"
2019-02-26,2019022601003427,AMFI,39,52,10,680.00,"6,800.00"
2019-02-26,2019022601003654,API,16,57,10,125.00,"1,250.00"
2019-02-26,2019022601003637,API,25,57,15,125.00,"1,875.00"
2019-02-26,2019022601003619,API,21,43,18,124.00,"2,232.00"
2019-02-26,2019022601003631,BOKL,47,47,48,240.00,"11,520.00"
2019-02-26,2019022601003472,BOKL,45,25,500,240.00,"120,000.00"
2019-02-26,2019022601003508,BPCL,16,45,60,340.00,"20,400.00"
2019-02-26,2019022601003609,CBBL,6,42,50,869.00,"43,450.00"
2019-02-26,2019022601003633,CBL,46,34,30,150.00,"4,500.00"
2019-02-26,2019022601003586,CBL,1,34,841,149.00,"125,309.00"
2019-02-26,2019022601003349,CBL,1,6,17,147.00,"2,499.00"
2019-02-26,2019022601003660,CCBL,46,26,30,159.00,"4,770.00"
2019-02-26,2019022601003603,CFCL,1,17,65,107.00,"6,955.00"
2019-02-26,2019022601003562,CFCL,1,33,44,107.00,"4,708.00"
2019-02-26,2019022601003436,CFCL,47,14,200,108.00,"21,600.00"
2019-02-26,2019022601003435,CFCL,1,14,"1,000",108.00,"108,000.00"
2019-02-26,2019022601003434,CFCL,41,14,"1,000",108.00,"108,000.00"
2019-02-26,2019022601003433,CFCL,49,14,500,108.00,"54,000.00"
2019-02-26,2019022601003270,CFCL,10,14,200,109.00,"21,800.00"
