Date,Transact. No.,Symbol,Buyer,Seller,Quantity,Rate,Amount
2019-03-28,2019032801005500,ADBL,34,1,25,294.00,"7,350.00"
2019-03-28,2019032801005435,ADBL,34,42,175,294.00,"51,450.00"
2019-03-28,2019032801005303,ADBL,19,56,27,292.00,"7,884.00"
2019-03-28,2019032801005302,ADBL,47,56,50,292.00,"14,600.00"
2019-03-28,2019032801005273,ADBL,32,33,250,293.00,"73,250.00"
2019-03-28,2019032801005707,AHPC,22,28,"1,770",101.00,"178,770.00"
2019-03-28,2019032801005470,AHPC,22,5,"1,230",101.00,"124,230.00"
2019-03-28,2019032801005469,AHPC,58,5,100,101.00,"10,100.00"
2019-03-28,2019032801005468,AHPC,32,5,200,101.00,"20,200.00"
2019-03-28,2019032801005467,AHPC,42,5,50,101.00,"5,050.00"
2019-03-28,2019032801005466,AHPC,46,5,300,101.00,"30,300.00"
2019-03-28,2019032801005379,AHPC,32,28,300,102.00,"30,600.00"
2019-03-28,2019032801005308,AHPC,45,28,500,102.00,"51,000.00"
2019-03-28,2019032801005221,AHPC,7,28,800,102.00,"81,600.00"
2019-03-28,2019032801005472,AKJCL,48,29,10,81.00,810.00
2019-03-28,2019032801005471,AKJCL,6,29,10,82.00,820.00
2019-03-28,2019032801005295,AKPL,16,32,30,176.00,"5,280.00"
2019-03-28,2019032801005294,AKPL,16,41,10,176.00,"1,760.00"
2019-03-28,2019032801005697,ALBSL,29,56,10,485.00,"4,850.00"
2019-03-28,2019032801005683,ALBSL,29,56,10,485.00,"4,850.00"
2019-03-28,2019032801005681,ALBSL,29,42,10,485.00,"4,850.00"
2019-03-28,2019032801005652,ALBSL,29,58,10,485.00,"4,850.00"
2019-03-28,2019032801005602,ALBSL,29,41,10,485.00,"4,850.00"
2019-03-28,2019032801005592,ALBSL,42,51,10,486.00,"4,860.00"
2019-03-28,2019032801005285,ALBSL,8,41,10,483.00,"4,830.00"
2019-03-28,2019032801005256,ALBSL,52,17,10,485.00,"4,850.00"
2019-03-28,2019032801005231,ALBSL,8,41,10,483.00,"4,830.00"
