Date,Transact. No.,Symbol,Buyer,Seller,Quantity,Rate,Amount
2019-01-30,2019013001004588,ADBL,45,13,280,339.00,"94,920.00"
2019-01-30,2019013001004276,ADBL,45,55,400,339.00,"135,600.00"
2019-01-30,2019013001004359,AKJCL,17,34,10,84.00,840.00
2019-01-30,2019013001004281,AKJCL,17,34,10,84.00,840.00
2019-01-30,2019013001004223,AKJCL,17,34,20,84.00,"1,680.00"
2019-01-30,2019013001004468,AKPL,37,59,74,185.00,"13,690.00"
2019-01-30,2019013001004261,AKPL,37,39,13,184.00,"2,392.00"
2019-01-30,2019013001004589,ALICL,49,50,10,613.00,"6,130.00"
2019-01-30,2019013001004502,ALICL,35,13,20,610.00,"12,200.00"
2019-01-30,2019013001004501,ALICL,57,13,454,610.00,"276,940.00"
2019-01-30,2019013001004375,ALICL,49,13,20,611.00,"12,220.00"
2019-01-30,2019013001004511,API,25,39,50,144.00,"7,200.00"
2019-01-30,2019013001004499,API,5,25,29,142.00,"4,118.00"
2019-01-30,2019013001004196,API,57,25,117,140.00,"16,380.00"
2019-01-30,2019013001004195,API,42,25,100,140.00,"14,000.00"
2019-01-30,2019013001004194,API,41,25,283,140.00,"39,620.00"
2019-01-30,2019013001004280,BARUN,42,42,40,103.00,"4,120.00"
2019-01-30,2019013001004522,BHBL,4,1,24,147.00,"3,528.00"
2019-01-30,2019013001004472,BHBL,1,42,280,146.00,"40,880.00"
2019-01-30,2019013001004554,BOKL,8,1,600,254.00,"152,400.00"
2019-01-30,2019013001004527,BOKL,8,1,620,254.00,"157,480.00"
2019-01-30,2019013001004526,BOKL,8,29,200,253.00,"50,600.00"
2019-01-30,2019013001004525,BOKL,8,25,200,253.00,"50,600.00"
2019-01-30,2019013001004524,BOKL,8,49,75,253.00,"18,975.00"
2019-01-30,2019013001004361,BPCL,49,33,100,362.00,"36,200.00"
2019-01-30,2019013001004175,BPCL,51,49,"3,456",359.00,"1,240,704.00"
2019-01-30,2019013001004586,CBBL,28,58,15,866.00,"12,990.00"
2019-01-30,2019013001004497,CBBL,45,42,10,872.00,"8,720.00"
2019-01-30,2019013001004295,CBBL,28,55,85,866.00,"73,610.00"
2019-01-30,2019013001004294,CBBL,32,55,15,866.00,"12,990.00"
2019-01-30,2019013001004170,CBBL,32,50,85,866.00,"73,610.00"
2019-01-30,2019013001004169,CBBL,3,50,15,867.00,"13,005.00"
2019-01-30,2019013001004582,CBL,42,59,500,158.00,"79,000.00"
2019-01-30,2019013001004498,CBL,43,14,10,159.00,"1,590.00"
2019-01-30,2019013001004341,CBL,42,44,18,158.00,"2,844.00"
2019-01-30,2019013001004129,CCBL,47,16,657,169.00,"111,033.00"
2019-01-30,2019013001004128,CCBL,49,16,200,169.00,"33,800.00"
2019-01-30,2019013001004127,CCBL,22,16,100,169.00,"16,900.00"
2019-01-30,2019013001004126,CCBL,26,16,390,169.00,"65,910.00"
2019-01-30,2019013001004450,CEFL,18,47,10,123.00,"1,230.00"
2019-01-30,2019013001004454,CFCL,58,32,350,110.00,"38,500.00"
2019-01-30,2019013001004476,CHCL,38,22,100,529.00,"52,900.00"
2019-01-30,2019013001004477,CIT,25,58,15,"2,717.00","40,755.00"
2019-01-30,2019013001004457,CIT,45,58,10,"2,717.00","27,170.00"
2019-01-30,2019013001004279,CIT,52,38,14,"2,704.00","37,856.00"
2019-01-30,2019013001004246,CIT,4,1,300,"2,704.00","811,200.00"
2019-01-30,2019013001004245,CIT,16,1,84,"2,705.00","227,220.00"
2019-01-30,2019013001004204,CIT,16,35,18,"2,719.00","48,942.00"
2019-01-30,2019013001004202,CIT,16,39,12,"2,719.00","32,628.00"
2019-01-30,2019013001004201,CIT,16,43,30,"2,718.00","81,540.00"
2019-01-30,2019013001004200,CIT,54,34,60,"2,715.00","162,900.00"
2019-01-30,2019013001004165,CIT,54,18,20,"2,715.00","54,300.00"
2019-01-30,2019013001004365,DBBL,53,10,35,125.00,"4,375.00"
2019-01-30,2019013001004263,DBBL,53,10,35,125.00,"4,375.00"
2019-01-30,2019013001004242,DBBL,53,10,35,125.00,"4,375.00"
2019-01-30,2019013001004118,DBBL,53,10,35,125.00,"4,375.00"
2019-01-30,2019013001004413,EBL,53,6,90,525.00,"47,250.00"
