Date,Transact. No.,Symbol,Buyer,Seller,Quantity,Rate,Amount
2020-07-06,2020070601017117,ADBL,29,29,5,360.00,"1,800.00"
2020-07-06,2020070601016886,ADBL,25,14,741,365.00,"270,465.00"
2020-07-06,2020070601016885,ADBL,25,49,105,365.00,"38,325.00"
2020-07-06,2020070601016977,AHPC,36,52,500,95.00,"47,500.00"
2020-07-06,2020070601016976,AHPC,36,33,235,95.00,"22,325.00"
2020-07-06,2020070601016970,AHPC,17,33,50,95.00,"4,750.00"
2020-07-06,2020070601017314,ALICL,45,8,200,581.00,"116,200.00"
2020-07-06,2020070601017259,ALICL,26,33,173,589.00,"101,897.00"
2020-07-06,2020070601017175,ALICL,26,32,500,589.00,"294,500.00"
2020-07-06,2020070601017174,ALICL,26,11,20,586.00,"11,720.00"
2020-07-06,2020070601017173,ALICL,26,22,400,585.00,"234,000.00"
2020-07-06,2020070601017172,ALICL,26,57,50,585.00,"29,250.00"
2020-07-06,2020070601017165,ALICL,26,32,20,583.00,"11,660.00"
2020-07-06,2020070601017171,ALICL,26,38,100,585.00,"58,500.00"
2020-07-06,2020070601017170,ALICL,26,51,50,585.00,"29,250.00"
2020-07-06,2020070601017169,ALICL,26,10,50,585.00,"29,250.00"
2020-07-06,2020070601017168,ALICL,26,41,20,585.00,"11,700.00"
2020-07-06,2020070601017167,ALICL,26,34,100,584.00,"58,400.00"
2020-07-06,2020070601017166,ALICL,26,17,17,584.00,"9,928.00"
2020-07-06,2020070601017184,API,25,56,17,109.00,"1,853.00"
2020-07-06,2020070601017183,API,25,45,200,108.00,"21,600.00"
2020-07-06,2020070601017123,API,37,25,"1,681",107.00,"179,867.00"
2020-07-06,2020070601016979,API,37,58,190,107.00,"20,330.00"
2020-07-06,2020070601016963,API,45,25,30,108.00,"3,240.00"
2020-07-06,2020070601017263,BOKL,14,44,10,214.00,"2,140.00"
2020-07-06,2020070601017262,BOKL,14,37,16,213.00,"3,408.00"
2020-07-06,2020070601017181,BOKL,18,33,26,212.00,"5,512.00"
2020-07-06,2020070601017180,BOKL,18,57,341,212.00,"72,292.00"
2020-07-06,2020070601017179,BOKL,18,57,273,212.00,"57,876.00"
2020-07-06,2020070601017163,BOKL,46,57,10,212.00,"2,120.00"
2020-07-06,2020070601017142,BOKL,18,32,400,211.00,"84,400.00"
2020-07-06,2020070601017195,BPCL,58,36,10,345.00,"3,450.00"
2020-07-06,2020070601016910,CBBL,33,13,500,"1,000.00","500,000.00"
2020-07-06,2020070601016909,CBBL,33,58,100,999.00,"99,900.00"
2020-07-06,2020070601016908,CBBL,33,5,300,999.00,"299,700.00"
2020-07-06,2020070601016907,CBBL,33,32,20,998.00,"19,960.00"
2020-07-06,2020070601017256,CCBL,6,20,469,163.00,"76,447.00"
2020-07-06,2020070601017005,CCBL,6,45,31,163.00,"5,053.00"
2020-07-06,2020070601017027,CFCL,36,45,"1,000",118.00,"118,000.00"
2020-07-06,2020070601017322,CHCL,53,44,20,375.00,"7,500.00"
2020-07-06,2020070601017280,CHL,59,36,10,80.00,800.00
2020-07-06,2020070601017344,CIT,43,41,22,"2,467.00","54,274.00"
2020-07-06,2020070601017285,CIT,43,7,90,"2,465.00","221,850.00"
2020-07-06,2020070601017284,CIT,34,7,10,"2,465.00","24,650.00"
2020-07-06,2020070601017185,CIT,56,14,20,"2,465.00","49,300.00"
2020-07-06,2020070601017013,CIT,33,18,100,"2,465.00","246,500.00"
2020-07-06,2020070601017056,CLBSL,58,36,11,629.00,"6,919.00"
2020-07-06,2020070601017055,CLBSL,58,14,11,624.00,"6,864.00"
2020-07-06,2020070601017054,CLBSL,58,57,11,620.00,"6,820.00"
2020-07-06,2020070601017029,CLBSL,19,13,10,620.00,"6,200.00"
2020-07-06,2020070601017053,CZBIL,20,56,100,187.00,"18,700.00"
2020-07-06,2020070601017250,DDBL,35,36,100,817.00,"81,700.00"
2020-07-06,2020070601017145,DDBL,38,37,100,815.00,"81,500.00"
2020-07-06,2020070601017144,DDBL,38,37,200,815.00,"163,000.00"
2020-07-06,2020070601016953,DDBL,25,34,50,810.00,"40,500.00"
2020-07-06,2020070601016952,DDBL,25,20,300,810.00,"243,000.00"
2020-07-06,2020070601016951,DDBL,25,32,10,809.00,"8,090.00"
2020-07-06,2020070601017360,EBL,44,6,155,640.00,"99,200.00"
2020-07-06,2020070601017359,EBL,37,6,125,640.00,"80,000.00"
2020-07-06,2020070601017221,EBL,37,26,25,640.00,"16,000.00"
2020-07-06,2020070601017220,EBL,37,28,50,640.00,"32,000.00"
2020-07-06,2020070601017238,EIC,56,57,74,390.00,"28,860.00"
2020-07-06,2020070601017237,EIC,56,22,426,390.00,"166,140.00"
2020-07-06,2020070601017159,EIC,35,22,674,390.00,"262,860.00"
2020-07-06,2020070601017115,EIC,35,35,600,390.00,"234,000.00"
2020-07-06,2020070601017014,EIC,35,8,100,390.00,"39,000.00"
2020-07-06,2020070601016950,EIC,35,32,100,390.00,"39,000.00"
2020-07-06,2020070601017189,FMDBL,44,50,500,462.00,"231,000.00"
2020-07-06,2020070601016994,FMDBL,44,42,50,462.00,"23,100.00"
2020-07-06,2020070601016993,FMDBL,44,40,400,462.00,"184,800.00"
2020-07-06,2020070601016992,FMDBL,44,39,200,462.00,"92,400.00"
2020-07-06,2020070601016991,FMDBL,44,36,432,462.00,"199,584.00"
2020-07-06,2020070601016990,FMDBL,44,6,100,462.00,"46,200.00"
2020-07-06,2020070601016943,FMDBL,35,6,100,462.00,"46,200.00"
2020-07-06,2020070601016917,FMDBL,6,48,30,456.00,"13,680.00"
2020-07-06,2020070601017375,FOWAD,28,53,10,"1,528.00","15,280.00"
2020-07-06,2020070601017062,FOWAD,28,19,20,"1,499.00","29,980.00"
2020-07-06,2020070601017061,FOWAD,28,45,20,"1,499.00","29,980.00"
2020-07-06,2020070601017038,FOWAD,28,16,19,"1,498.00","28,462.00"
2020-07-06,2020070601017085,GBIME,58,44,10,241.00,"2,410.00"
2020-07-06,2020070601017043,GBIME,8,44,454,241.00,"109,414.00"
2020-07-06,2020070601017042,GBIME,8,40,546,241.00,"131,586.00"
2020-07-06,2020070601017041,GBIME,8,34,500,240.00,"120,000.00"
2020-07-06,2020070601017365,GBLBS,16,40,10,469.00,"4,690.00"
2020-07-06,2020070601017065,GBLBS,16,42,100,460.00,"46,000.00"
2020-07-06,2020070601017021,GBLBS,16,25,100,460.00,"46,000.00"
2020-07-06,2020070601016934,GBLBS,58,36,500,451.00,"225,500.00"
2020-07-06,2020070601016933,GBLBS,58,55,100,451.00,"45,100.00"
2020-07-06,2020070601016932,GBLBS,58,28,400,451.00,"180,400.00"
2020-07-06,2020070601016925,GBLBS,58,1,15,441.00,"6,615.00"
2020-07-06,2020070601016931,GBLBS,58,40,400,449.00,"179,600.00"
2020-07-06,2020070601016930,GBLBS,58,45,15,445.00,"6,675.00"
2020-07-06,2020070601016929,GBLBS,58,33,15,443.00,"6,645.00"
2020-07-06,2020070601016928,GBLBS,58,17,28,443.00,"12,404.00"
2020-07-06,2020070601016927,GBLBS,58,6,165,443.00,"73,095.00"
2020-07-06,2020070601016926,GBLBS,58,11,500,442.00,"221,000.00"
2020-07-06,2020070601017381,GGBSL,45,17,10,748.00,"7,480.00"
2020-07-06,2020070601016920,GGBSL,21,3,10,735.00,"7,350.00"
2020-07-06,2020070601016919,GGBSL,21,58,10,735.00,"7,350.00"
2020-07-06,2020070601016918,GGBSL,21,17,10,735.00,"7,350.00"
2020-07-06,2020070601017084,GILB,34,46,110,"1,320.00","145,200.00"
2020-07-06,2020070601017083,GILB,34,38,11,"1,320.00","14,520.00"
2020-07-06,2020070601016938,GILB,51,38,10,"1,297.00","12,970.00"
2020-07-06,2020070601017319,GLICL,58,40,36,469.00,"16,884.00"
2020-07-06,2020070601017318,GLICL,58,34,20,465.00,"9,300.00"
2020-07-06,2020070601017317,GLICL,58,45,50,463.00,"23,150.00"
2020-07-06,2020070601017316,GLICL,58,17,44,462.00,"20,328.00"
2020-07-06,2020070601017315,GLICL,58,32,50,461.00,"23,050.00"
2020-07-06,2020070601017236,GLICL,58,34,900,460.00,"414,000.00"
2020-07-06,2020070601017235,GLICL,58,42,19,460.00,"8,740.00"
2020-07-06,2020070601017234,GLICL,58,32,50,459.00,"22,950.00"
2020-07-06,2020070601017233,GLICL,58,35,178,459.00,"81,702.00"
2020-07-06,2020070601017098,GMFBS,16,14,10,758.00,"7,580.00"
2020-07-06,2020070601017295,GUFL,45,32,10,113.00,"1,130.00"
2020-07-06,2020070601017153,HBL,35,5,116,516.00,"59,856.00"
2020-07-06,2020070601017152,HBL,41,5,50,519.00,"25,950.00"
2020-07-06,2020070601017051,HBL,41,5,500,519.00,"259,500.00"
2020-07-06,2020070601017050,HBL,41,32,450,518.00,"233,100.00"
2020-07-06,2020070601017379,HDL,57,45,350,"1,495.00","523,250.00"
2020-07-06,2020070601017378,HDL,38,45,15,"1,495.00","22,425.00"
2020-07-06,2020070601017377,HDL,46,45,85,"1,496.00","127,160.00"
2020-07-06,2020070601017376,HDL,32,45,50,"1,497.00","74,850.00"
2020-07-06,2020070601017326,HDL,53,26,10,"1,498.00","14,980.00"
2020-07-06,2020070601017297,HDL,19,26,10,"1,498.00","14,980.00"
2020-07-06,2020070601016946,HDL,45,58,50,"1,510.00","75,500.00"
2020-07-06,2020070601016944,HDL,45,4,14,"1,510.00","21,140.00"
2020-07-06,2020070601017011,HDL,21,26,50,"1,500.00","75,000.00"
2020-07-06,2020070601017010,HDL,44,26,89,"1,505.00","133,945.00"
2020-07-06,2020070601016974,HDL,44,40,344,"1,505.00","517,720.00"
2020-07-06,2020070601016973,HDL,25,40,100,"1,508.00","150,800.00"
2020-07-06,2020070601016972,HDL,19,40,20,"1,510.00","30,200.00"
2020-07-06,2020070601016971,HDL,45,40,36,"1,510.00","54,360.00"
2020-07-06,2020070601017296,HDL,25,26,20,"1,498.00","29,960.00"
2020-07-06,2020070601017272,HDL,25,11,20,"1,498.00","29,960.00"
2020-07-06,2020070601017208,HDL,25,11,10,"1,498.00","14,980.00"
2020-07-06,2020070601017193,HDL,38,26,79,"1,500.00","118,500.00"
2020-07-06,2020070601017030,HDL,38,4,10,"1,500.00","15,000.00"
2020-07-06,2020070601017012,HDL,38,26,11,"1,500.00","16,500.00"
2020-07-06,2020070601016942,HGI,57,50,150,351.00,"52,650.00"
2020-07-06,2020070601016941,HGI,57,11,30,351.00,"10,530.00"
2020-07-06,2020070601016940,HGI,57,17,200,351.00,"70,200.00"
2020-07-06,2020070601016939,HGI,57,7,50,351.00,"17,550.00"
