Date,Transact. No.,Symbol,Buyer,Seller,Quantity,Rate,Amount
2019-11-25,2019112501005157,ADBL,14,17,54,409.00,"22,086.00"
2019-11-25,2019112501005156,ADBL,42,17,46,409.00,"18,814.00"
2019-11-25,2019112501004952,ADBL,42,22,204,409.00,"83,436.00"
2019-11-25,2019112501004951,ADBL,52,22,16,410.00,"6,560.00"
2019-11-25,2019112501004950,ADBL,57,22,50,412.00,"20,600.00"
2019-11-25,2019112501004823,AKBSL,43,50,10,424.00,"4,240.00"
2019-11-25,2019112501004685,AKBSL,43,38,10,421.00,"4,210.00"
2019-11-25,2019112501004668,AKBSL,21,38,10,422.00,"4,220.00"
2019-11-25,2019112501005050,AKJCL,22,38,20,56.00,"1,120.00"
2019-11-25,2019112501004798,AKJCL,22,38,20,56.00,"1,120.00"
2019-11-25,2019112501004739,AKJCL,13,38,10,55.00,550.00
2019-11-25,2019112501004675,AKJCL,13,38,20,55.00,"1,100.00"
2019-11-25,2019112501005052,AKPL,53,25,10,113.00,"1,130.00"
2019-11-25,2019112501004927,AKPL,39,25,10,111.00,"1,110.00"
2019-11-25,2019112501004686,AKPL,1,38,13,110.00,"1,430.00"
2019-11-25,2019112501005123,ALBSL,33,17,80,386.00,"30,880.00"
2019-11-25,2019112501005122,ALBSL,55,17,50,386.00,"19,300.00"
2019-11-25,2019112501005121,ALBSL,58,17,130,391.00,"50,830.00"
2019-11-25,2019112501005060,ALBSL,58,38,10,391.00,"3,910.00"
2019-11-25,2019112501004921,ALBSL,16,17,50,398.00,"19,900.00"
2019-11-25,2019112501004744,ALBSL,58,38,10,391.00,"3,910.00"
2019-11-25,2019112501004692,ALBSL,58,38,10,391.00,"3,910.00"
2019-11-25,2019112501004769,API,25,6,50,103.00,"5,150.00"
2019-11-25,2019112501004753,API,42,6,70,103.00,"7,210.00"
2019-11-25,2019112501004855,BPCL,16,22,53,345.00,"18,285.00"
2019-11-25,2019112501005093,CBBL,45,7,20,973.00,"19,460.00"
2019-11-25,2019112501004910,CBBL,34,45,50,976.00,"48,800.00"
2019-11-25,2019112501004702,CBBL,43,45,14,976.00,"13,664.00"
2019-11-25,2019112501004850,CCBL,22,33,30,159.00,"4,770.00"
2019-11-25,2019112501004849,CCBL,25,33,200,159.00,"31,800.00"
2019-11-25,2019112501004848,CCBL,34,33,50,159.00,"7,950.00"
2019-11-25,2019112501004847,CCBL,17,33,120,159.00,"19,080.00"
2019-11-25,2019112501005098,CHCL,36,52,79,352.00,"27,808.00"
2019-11-25,2019112501005097,CHCL,6,52,21,352.00,"7,392.00"
2019-11-25,2019112501005072,CHCL,6,16,200,352.00,"70,400.00"
2019-11-25,2019112501004830,CHCL,6,38,200,352.00,"70,400.00"
2019-11-25,2019112501005066,CIT,54,13,100,"1,701.00","170,100.00"
2019-11-25,2019112501005065,CIT,41,13,30,"1,702.00","51,060.00"
2019-11-25,2019112501005064,CIT,50,13,30,"1,702.00","51,060.00"
2019-11-25,2019112501005063,CIT,34,13,10,"1,703.00","17,030.00"
2019-11-25,2019112501005062,CIT,34,13,10,"1,704.00","17,040.00"
2019-11-25,2019112501005061,CIT,29,13,20,"1,705.00","34,100.00"
2019-11-25,2019112501004672,CIT,58,6,50,"1,705.00","85,250.00"
2019-11-25,2019112501004671,CIT,55,6,10,"1,705.00","17,050.00"
2019-11-25,2019112501004932,CZBIL,59,39,259,182.00,"47,138.00"
2019-11-25,2019112501004785,CZBIL,59,25,170,182.00,"30,940.00"
2019-11-25,2019112501004784,CZBIL,45,25,20,182.00,"3,640.00"
2019-11-25,2019112501004783,CZBIL,37,25,110,182.00,"20,020.00"
2019-11-25,2019112501005084,DBBL,14,17,80,122.00,"9,760.00"
2019-11-25,2019112501004938,DBBL,25,22,218,121.00,"26,378.00"
2019-11-25,2019112501004937,DBBL,41,22,"1,000",121.00,"121,000.00"
2019-11-25,2019112501004936,DBBL,22,22,432,121.00,"52,272.00"
2019-11-25,2019112501004845,EBL,44,37,"1,000",538.00,"538,000.00"
2019-11-25,2019112501004736,EBL,48,37,500,536.00,"268,000.00"
2019-11-25,2019112501004900,EIC,17,38,110,212.00,"23,320.00"
2019-11-25,2019112501004899,EIC,17,6,90,211.00,"18,990.00"
2019-11-25,2019112501004748,FMDBL,25,57,50,301.00,"15,050.00"
2019-11-25,2019112501004791,GBBL,46,17,56,222.00,"12,432.00"
2019-11-25,2019112501004757,GBBL,35,17,188,222.00,"41,736.00"
2019-11-25,2019112501004756,GBBL,35,39,100,222.00,"22,200.00"
2019-11-25,2019112501004755,GBBL,35,39,12,222.00,"2,664.00"
2019-11-25,2019112501005140,GBLBS,25,28,10,295.00,"2,950.00"
2019-11-25,2019112501005104,GBLBS,8,50,100,291.00,"29,100.00"
2019-11-25,2019112501005076,GBLBS,25,22,300,292.00,"87,600.00"
2019-11-25,2019112501005075,GBLBS,20,22,10,292.00,"2,920.00"
2019-11-25,2019112501004834,GBLBS,20,38,15,292.00,"4,380.00"
2019-11-25,2019112501004698,GBLBS,42,28,70,295.00,"20,650.00"
2019-11-25,2019112501005165,GGBSL,37,3,10,640.00,"6,400.00"
2019-11-25,2019112501005136,GGBSL,58,10,10,630.00,"6,300.00"
2019-11-25,2019112501005019,GGBSL,52,3,10,640.00,"6,400.00"
2019-11-25,2019112501004991,GGBSL,58,10,10,630.00,"6,300.00"
2019-11-25,2019112501004970,GGBSL,49,28,50,634.00,"31,700.00"
2019-11-25,2019112501004969,GGBSL,33,28,20,637.00,"12,740.00"
2019-11-25,2019112501004731,GGBSL,35,35,10,638.00,"6,380.00"
2019-11-25,2019112501004941,GILB,7,46,10,723.00,"7,230.00"
2019-11-25,2019112501004728,GLICL,50,50,395,346.00,"136,670.00"
2019-11-25,2019112501004804,GMFBS,56,6,20,490.00,"9,800.00"
2019-11-25,2019112501004771,GMFBS,10,6,10,490.00,"4,900.00"
2019-11-25,2019112501004674,GMFBS,56,6,20,490.00,"9,800.00"
2019-11-25,2019112501005125,HDL,58,53,170,"1,740.00","295,800.00"
2019-11-25,2019112501005069,HDL,45,53,50,"1,750.00","87,500.00"
2019-11-25,2019112501004961,HDL,52,53,120,"1,750.00","210,000.00"
2019-11-25,2019112501004960,HDL,52,7,100,"1,750.00","175,000.00"
2019-11-25,2019112501004959,HDL,52,35,50,"1,749.00","87,450.00"
2019-11-25,2019112501004958,HDL,52,35,80,"1,749.00","139,920.00"
2019-11-25,2019112501004814,HDL,49,35,20,"1,749.00","34,980.00"
2019-11-25,2019112501004789,HGI,50,52,140,237.00,"33,180.00"
2019-11-25,2019112501004764,HIDCL,14,29,200,131.00,"26,200.00"
2019-11-25,2019112501004906,IGI,49,29,380,278.00,"105,640.00"
2019-11-25,2019112501005085,ILBS,58,17,185,460.00,"85,100.00"
2019-11-25,2019112501005080,ILBS,58,38,10,460.00,"4,600.00"
2019-11-25,2019112501005078,ILBS,57,17,50,463.00,"23,150.00"
2019-11-25,2019112501005077,ILBS,32,17,160,465.00,"74,400.00"
2019-11-25,2019112501004926,ILBS,39,43,50,471.00,"23,550.00"
2019-11-25,2019112501004760,ILBS,32,38,10,465.00,"4,650.00"
2019-11-25,2019112501004687,ILBS,19,38,10,466.00,"4,660.00"
2019-11-25,2019112501005053,JBBL,17,13,37,158.00,"5,846.00"
2019-11-25,2019112501004887,JBBL,17,39,13,157.00,"2,041.00"
2019-11-25,2019112501004802,JBBL,17,17,80,157.00,"12,560.00"
2019-11-25,2019112501004704,JFL,32,6,10,192.00,"1,920.00"
2019-11-25,2019112501004852,JSLBB,37,38,10,"1,133.00","11,330.00"
2019-11-25,2019112501005138,KBL,25,11,25,180.00,"4,500.00"
2019-11-25,2019112501004891,KBL,58,1,106,178.00,"18,868.00"
2019-11-25,2019112501004890,KBL,33,1,184,178.00,"32,752.00"
2019-11-25,2019112501004750,KBL,33,6,76,178.00,"13,528.00"
2019-11-25,2019112501005144,KPCL,22,59,180,81.00,"14,580.00"
2019-11-25,2019112501005143,KPCL,39,59,150,81.00,"12,150.00"
2019-11-25,2019112501005142,KPCL,56,59,10,83.00,830.00
2019-11-25,2019112501004934,KPCL,56,59,10,82.00,820.00
2019-11-25,2019112501004933,KPCL,56,4,10,82.00,820.00
2019-11-25,2019112501004918,KPCL,22,38,10,81.00,810.00
2019-11-25,2019112501004781,LBL,32,17,80,216.00,"17,280.00"
2019-11-25,2019112501004780,LBL,32,52,501,216.00,"108,216.00"
2019-11-25,2019112501004851,LICN,25,59,10,915.00,"9,150.00"
2019-11-25,2019112501004812,LICN,6,34,12,905.00,"10,860.00"
2019-11-25,2019112501005139,MBL,14,35,500,215.00,"107,500.00"
2019-11-25,2019112501005094,MBL,14,6,378,215.00,"81,270.00"
2019-11-25,2019112501004943,MBL,14,6,500,216.00,"108,000.00"
2019-11-25,2019112501005038,MEGA,43,51,10,181.00,"1,810.00"
2019-11-25,2019112501005015,MEGA,32,8,363,180.00,"65,340.00"
2019-11-25,2019112501005014,MEGA,28,8,637,180.00,"114,660.00"
2019-11-25,2019112501004880,MEGA,49,8,200,180.00,"36,000.00"
2019-11-25,2019112501004879,MEGA,32,8,466,180.00,"83,880.00"
2019-11-25,2019112501004878,MEGA,33,8,100,180.00,"18,000.00"
2019-11-25,2019112501004877,MEGA,58,8,79,180.00,"14,220.00"
2019-11-25,2019112501004858,MEGA,58,38,65,180.00,"11,700.00"
2019-11-25,2019112501004883,MEGA,28,8,363,180.00,"65,340.00"
2019-11-25,2019112501004882,MEGA,21,8,336,180.00,"60,480.00"
2019-11-25,2019112501004881,MEGA,38,8,100,180.00,"18,000.00"
2019-11-25,2019112501005134,MLBL,34,17,34,170.00,"5,780.00"
2019-11-25,2019112501005133,MLBL,32,17,66,170.00,"11,220.00"
2019-11-25,2019112501004821,MLBL,32,34,434,170.00,"73,780.00"
2019-11-25,2019112501004820,MLBL,57,34,530,170.00,"90,100.00"
2019-11-25,2019112501004819,MLBL,34,34,200,170.00,"34,000.00"
2019-11-25,2019112501004818,MLBL,47,34,200,170.00,"34,000.00"
2019-11-25,2019112501004817,MLBL,37,34,500,170.00,"85,000.00"
2019-11-25,2019112501004816,MLBL,43,34,100,171.00,"17,100.00"
2019-11-25,2019112501004815,MLBL,36,34,36,171.00,"6,156.00"
2019-11-25,2019112501004957,MNBBL,39,17,500,309.00,"154,500.00"
2019-11-25,2019112501004846,MNBBL,39,17,500,309.00,"154,500.00"
2019-11-25,2019112501004801,MNBBL,36,14,250,310.00,"77,500.00"
2019-11-25,2019112501004710,MNBBL,51,17,100,312.00,"31,200.00"
2019-11-25,2019112501005154,NABIL,56,8,30,727.00,"21,810.00"
2019-11-25,2019112501005129,NABIL,22,8,30,728.00,"21,840.00"
2019-11-25,2019112501005128,NABIL,44,8,25,728.00,"18,200.00"
2019-11-25,2019112501005127,NABIL,22,8,50,728.00,"36,400.00"
2019-11-25,2019112501005126,NABIL,49,8,50,728.00,"36,400.00"
2019-11-25,2019112501005009,NABIL,16,8,50,730.00,"36,500.00"
2019-11-25,2019112501004714,NABIL,52,16,30,732.00,"21,960.00"
2019-11-25,2019112501005001,NABIL,56,8,200,730.00,"146,000.00"
2019-11-25,2019112501004949,NABIL,45,41,50,729.00,"36,450.00"
2019-11-25,2019112501004948,NABIL,14,41,10,729.00,"7,290.00"
2019-11-25,2019112501004896,NABIL,25,8,100,730.00,"73,000.00"
2019-11-25,2019112501004766,NABIL,22,8,100,730.00,"73,000.00"
2019-11-25,2019112501004765,NABIL,1,8,170,730.00,"124,100.00"
2019-11-25,2019112501004905,NBB,1,22,420,198.00,"83,160.00"
2019-11-25,2019112501004895,NBB,46,22,200,199.00,"39,800.00"
2019-11-25,2019112501004894,NBB,55,22,300,199.00,"59,700.00"
2019-11-25,2019112501004733,NBB,14,14,50,200.00,"10,000.00"
2019-11-25,2019112501005102,NBL,38,17,500,316.00,"158,000.00"
2019-11-25,2019112501005101,NBL,39,17,300,316.00,"94,800.00"
2019-11-25,2019112501005100,NBL,10,17,122,316.00,"38,552.00"
2019-11-25,2019112501005059,NBL,10,34,200,317.00,"63,400.00"
2019-11-25,2019112501005058,NBL,10,17,"1,500",317.00,"475,500.00"
2019-11-25,2019112501005057,NBL,10,17,100,317.00,"31,700.00"
2019-11-25,2019112501004761,NBL,7,42,128,316.00,"40,448.00"
2019-11-25,2019112501004788,NBL,10,17,"1,500",316.00,"474,000.00"
2019-11-25,2019112501004777,NBL,10,17,378,316.00,"119,448.00"
2019-11-25,2019112501004776,NBL,36,17,"1,000",316.00,"316,000.00"
2019-11-25,2019112501004775,NBL,43,17,122,316.00,"38,552.00"
2019-11-25,2019112501004774,NBL,43,17,878,316.00,"277,448.00"
2019-11-25,2019112501004773,NBL,7,17,622,316.00,"196,552.00"
2019-11-25,2019112501005011,NBL,43,17,200,317.00,"63,400.00"
2019-11-25,2019112501004810,NBL,43,17,"1,200",317.00,"380,400.00"
2019-11-25,2019112501004803,NBL,43,42,300,317.00,"95,100.00"
2019-11-25,2019112501004799,NBL,10,17,"1,500",316.00,"474,000.00"
2019-11-25,2019112501004795,NBL,43,17,"1,500",317.00,"475,500.00"
2019-11-25,2019112501004794,NBL,10,17,"1,500",316.00,"474,000.00"
2019-11-25,2019112501005083,NCCB,58,49,10,199.00,"1,990.00"
2019-11-25,2019112501004988,NCCB,38,39,25,198.00,"4,950.00"
2019-11-25,2019112501004752,NCCB,32,40,566,198.00,"112,068.00"
2019-11-25,2019112501004707,NCCB,36,38,28,197.00,"5,516.00"
2019-11-25,2019112501005141,NGPL,53,17,289,108.00,"31,212.00"
2019-11-25,2019112501004947,NGPL,53,25,200,108.00,"21,600.00"
2019-11-25,2019112501004670,NIB,46,26,24,418.00,"10,032.00"
2019-11-25,2019112501005082,NICA,39,33,250,405.00,"101,250.00"
2019-11-25,2019112501005044,NICA,39,33,200,405.00,"81,000.00"
2019-11-25,2019112501005043,NICA,50,33,"1,000",405.00,"405,000.00"
2019-11-25,2019112501005042,NICA,45,33,"1,000",406.00,"406,000.00"
2019-11-25,2019112501005041,NICA,6,33,30,406.00,"12,180.00"
2019-11-25,2019112501005040,NICA,45,33,300,406.00,"121,800.00"
