Date,Transact. No.,Symbol,Buyer,Seller,Quantity,Rate,Amount
2020-01-14,2020011401010899,AHPC,57,39,"1,500",95.00,"142,500.00"
2020-01-14,2020011401010898,AHPC,39,39,500,95.00,"47,500.00"
2020-01-14,2020011401010879,AHPC,57,39,300,95.00,"28,500.00"
2020-01-14,2020011401010878,AHPC,46,39,150,95.00,"14,250.00"
2020-01-14,2020011401011118,AKPL,40,34,10,135.00,"1,350.00"
2020-01-14,2020011401010895,AKPL,19,45,29,134.00,"3,886.00"
2020-01-14,2020011401010894,AKPL,57,45,971,134.00,"130,114.00"
2020-01-14,2020011401010874,AKPL,57,56,500,134.00,"67,000.00"
2020-01-14,2020011401010827,AKPL,43,34,100,135.00,"13,500.00"
2020-01-14,2020011401011165,ALBSL,34,41,329,596.00,"196,084.00"
2020-01-14,2020011401011164,ALBSL,32,41,50,597.00,"29,850.00"
2020-01-14,2020011401011163,ALBSL,45,41,21,600.00,"12,600.00"
2020-01-14,2020011401011161,ALBSL,45,29,10,600.00,"6,000.00"
2020-01-14,2020011401010877,ALBSL,45,40,69,600.00,"41,400.00"
2020-01-14,2020011401011008,ALICL,4,21,50,424.00,"21,200.00"
2020-01-14,2020011401010997,ALICL,38,21,200,425.00,"85,000.00"
2020-01-14,2020011401010977,API,25,44,300,124.00,"37,200.00"
2020-01-14,2020011401010947,API,25,40,"1,500",122.00,"183,000.00"
2020-01-14,2020011401010946,API,25,50,"1,000",122.00,"122,000.00"
2020-01-14,2020011401010926,API,1,25,"2,500",121.00,"302,500.00"
2020-01-14,2020011401011287,BARUN,47,25,64,89.00,"5,696.00"
2020-01-14,2020011401011286,BARUN,32,25,300,89.00,"26,700.00"
2020-01-14,2020011401011285,BARUN,28,25,20,89.00,"1,780.00"
2020-01-14,2020011401011283,BARUN,28,34,80,89.00,"7,120.00"
2020-01-14,2020011401011053,BBC,58,39,10,"1,924.00","19,240.00"
2020-01-14,2020011401011052,BBC,58,56,13,"1,920.00","24,960.00"
2020-01-14,2020011401011278,BNT,34,40,10,"6,140.00","61,400.00"
2020-01-14,2020011401011277,BNT,55,40,10,"6,140.00","61,400.00"
2020-01-14,2020011401011213,BNT,57,38,10,"6,145.00","61,450.00"
2020-01-14,2020011401010840,BNT,57,40,20,"6,145.00","122,900.00"
2020-01-14,2020011401011017,BPCL,33,56,10,328.00,"3,280.00"
2020-01-14,2020011401011001,CBBL,39,32,10,888.00,"8,880.00"
2020-01-14,2020011401010992,CBL,43,26,10,140.00,"1,400.00"
