Date,Transact. No.,Symbol,Buyer,Seller,Quantity,Rate,Amount
2019-09-30,2019093001003335,ADBL,49,26,702,415.00,"291,330.00"
2019-09-30,2019093001003332,ADBL,37,26,248,415.00,"102,920.00"
2019-09-30,2019093001003241,AKBSL,34,33,100,411.00,"41,100.00"
2019-09-30,2019093001003226,AKBSL,56,33,70,412.00,"28,840.00"
2019-09-30,2019093001003214,AKBSL,38,38,10,416.00,"4,160.00"
2019-09-30,2019093001003205,AKBSL,56,45,10,412.00,"4,120.00"
2019-09-30,2019093001003186,AKBSL,56,17,10,412.00,"4,120.00"
2019-09-30,2019093001003528,AKPL,45,46,10,140.00,"1,400.00"
2019-09-30,2019093001003073,AKPL,45,1,460,137.00,"63,020.00"
2019-09-30,2019093001003074,AKPL,45,25,10,139.00,"1,390.00"
2019-09-30,2019093001003517,ALBSL,25,39,80,432.00,"34,560.00"
2019-09-30,2019093001003516,ALBSL,25,37,100,431.00,"43,100.00"
2019-09-30,2019093001003515,ALBSL,25,55,20,431.00,"8,620.00"
2019-09-30,2019093001003403,ALBSL,6,6,60,430.00,"25,800.00"
2019-09-30,2019093001003402,ALBSL,6,39,10,429.00,"4,290.00"
2019-09-30,2019093001003304,ALBSL,25,39,190,429.00,"81,510.00"
2019-09-30,2019093001003303,ALBSL,25,42,10,428.00,"4,280.00"
2019-09-30,2019093001003265,ALBSL,48,44,50,427.00,"21,350.00"
2019-09-30,2019093001003209,ALBSL,48,40,10,427.00,"4,270.00"
2019-09-30,2019093001003098,ALBSL,48,45,20,427.00,"8,540.00"
2019-09-30,2019093001003306,ALICL,58,39,125,311.00,"38,875.00"
2019-09-30,2019093001003305,ALICL,58,39,256,311.00,"79,616.00"
2019-09-30,2019093001003268,ALICL,36,39,39,311.00,"12,129.00"
2019-09-30,2019093001003231,ALICL,49,29,50,313.00,"15,650.00"
2019-09-30,2019093001003442,API,51,35,20,114.00,"2,280.00"
2019-09-30,2019093001003383,API,25,35,30,114.00,"3,420.00"
2019-09-30,2019093001003372,API,25,25,20,113.00,"2,260.00"
2019-09-30,2019093001003282,API,53,25,818,111.00,"90,798.00"
2019-09-30,2019093001003281,API,7,25,300,111.00,"33,300.00"
2019-09-30,2019093001003280,API,35,25,82,111.00,"9,102.00"
2019-09-30,2019093001003257,BOKL,16,37,381,255.00,"97,155.00"
2019-09-30,2019093001003507,CBBL,36,42,10,970.00,"9,700.00"
2019-09-30,2019093001003258,CBBL,22,42,50,970.00,"48,500.00"
2019-09-30,2019093001003152,CBBL,49,42,100,970.00,"97,000.00"
2019-09-30,2019093001003532,CBL,43,59,10,144.00,"1,440.00"
2019-09-30,2019093001003111,CBL,16,56,94,143.00,"13,442.00"
2019-09-30,2019093001003374,CCBL,50,48,500,153.00,"76,500.00"
2019-09-30,2019093001003301,CCBL,32,59,182,154.00,"28,028.00"
2019-09-30,2019093001003300,CCBL,32,39,101,154.00,"15,554.00"
2019-09-30,2019093001003299,CCBL,32,34,100,154.00,"15,400.00"
2019-09-30,2019093001003298,CCBL,32,34,"1,000",154.00,"154,000.00"
2019-09-30,2019093001003297,CCBL,32,55,190,154.00,"29,260.00"
2019-09-30,2019093001003296,CCBL,32,34,658,153.00,"100,674.00"
2019-09-30,2019093001003498,CFCL,1,28,"1,000",108.00,"108,000.00"
2019-09-30,2019093001003497,CFCL,39,28,25,108.00,"2,700.00"
2019-09-30,2019093001003496,CFCL,59,28,"1,000",108.00,"108,000.00"
2019-09-30,2019093001003495,CFCL,32,28,80,109.00,"8,720.00"
2019-09-30,2019093001003440,CFCL,32,17,"1,420",109.00,"154,780.00"
2019-09-30,2019093001003439,CFCL,45,17,10,109.00,"1,090.00"
2019-09-30,2019093001003438,CFCL,45,17,10,109.00,"1,090.00"
2019-09-30,2019093001003437,CFCL,39,17,50,110.00,"5,500.00"
2019-09-30,2019093001003436,CFCL,41,17,10,110.00,"1,100.00"
2019-09-30,2019093001003506,CIT,35,25,25,"1,817.00","45,425.00"
2019-09-30,2019093001003370,DDBL,49,39,182,720.00,"131,040.00"
2019-09-30,2019093001003369,DDBL,49,38,200,719.00,"143,800.00"
2019-09-30,2019093001003072,DHPL,8,34,50,55.00,"2,750.00"
2019-09-30,2019093001003071,DHPL,49,34,20,56.00,"1,120.00"
2019-09-30,2019093001003154,EBL,4,44,10,565.00,"5,650.00"
2019-09-30,2019093001003080,EBL,4,40,40,565.00,"22,600.00"
2019-09-30,2019093001003079,EBL,4,42,90,565.00,"50,850.00"
2019-09-30,2019093001003078,EBL,4,44,10,564.00,"5,640.00"
2019-09-30,2019093001003077,EBL,4,21,301,564.00,"169,764.00"
2019-09-30,2019093001003501,FMDBL,32,36,12,376.00,"4,512.00"
2019-09-30,2019093001003480,FMDBL,34,39,50,375.00,"18,750.00"
2019-09-30,2019093001003479,FMDBL,34,22,21,375.00,"7,875.00"
2019-09-30,2019093001003275,FMDBL,42,45,40,374.00,"14,960.00"
2019-09-30,2019093001003270,FMDBL,35,45,25,374.00,"9,350.00"
2019-09-30,2019093001003238,FMDBL,57,45,200,374.00,"74,800.00"
2019-09-30,2019093001003191,FMDBL,43,35,30,375.00,"11,250.00"
2019-09-30,2019093001003237,FMDBL,42,45,12,374.00,"4,488.00"
2019-09-30,2019093001003236,FMDBL,35,45,10,375.00,"3,750.00"
2019-09-30,2019093001003235,FMDBL,41,45,230,375.00,"86,250.00"
2019-09-30,2019093001003225,FMDBL,41,16,100,375.00,"37,500.00"
2019-09-30,2019093001003224,FMDBL,41,17,100,375.00,"37,500.00"
