Date,Transact. No.,Symbol,Buyer,Seller,Quantity,Rate,Amount
2019-09-17,2019091701007073,ADBL,45,28,10,418.00,"4,180.00"
2019-09-17,2019091701006937,ADBL,13,42,182,415.00,"75,530.00"
2019-09-17,2019091701006936,ADBL,44,42,300,415.00,"124,500.00"
2019-09-17,2019091701006935,ADBL,44,42,518,416.00,"215,488.00"
2019-09-17,2019091701006878,ADBL,44,55,100,416.00,"41,600.00"
2019-09-17,2019091701006845,ADBL,44,42,"1,000",416.00,"416,000.00"
2019-09-17,2019091701006834,ADBL,44,42,382,416.00,"158,912.00"
2019-09-17,2019091701006833,ADBL,51,42,200,416.00,"83,200.00"
2019-09-17,2019091701006832,ADBL,39,42,418,416.00,"173,888.00"
2019-09-17,2019091701006768,ADBL,38,57,500,417.00,"208,500.00"
2019-09-17,2019091701006676,ADBL,34,25,779,417.00,"324,843.00"
2019-09-17,2019091701006693,AHPC,26,43,50,99.00,"4,950.00"
2019-09-17,2019091701006680,AHPC,26,8,12,99.00,"1,188.00"
2019-09-17,2019091701007116,AKBSL,18,50,10,427.00,"4,270.00"
2019-09-17,2019091701007081,AKBSL,39,51,20,421.00,"8,420.00"
2019-09-17,2019091701007068,AKBSL,34,50,10,427.00,"4,270.00"
2019-09-17,2019091701007063,AKBSL,39,47,10,421.00,"4,210.00"
2019-09-17,2019091701007047,AKBSL,26,47,10,420.00,"4,200.00"
2019-09-17,2019091701007033,AKBSL,26,47,10,420.00,"4,200.00"
2019-09-17,2019091701006800,AKBSL,52,41,10,424.00,"4,240.00"
2019-09-17,2019091701006715,AKBSL,1,1,10,422.00,"4,220.00"
2019-09-17,2019091701006672,AKBSL,1,1,10,422.00,"4,220.00"
2019-09-17,2019091701006929,AKBSL,26,49,10,420.00,"4,200.00"
2019-09-17,2019091701006829,AKBSL,26,11,10,420.00,"4,200.00"
2019-09-17,2019091701006826,AKBSL,34,50,10,427.00,"4,270.00"
2019-09-17,2019091701006803,AKBSL,52,13,10,425.00,"4,250.00"
2019-09-17,2019091701006802,AKBSL,52,49,10,425.00,"4,250.00"
2019-09-17,2019091701006801,AKBSL,52,49,10,425.00,"4,250.00"
2019-09-17,2019091701007110,AKPL,41,14,300,141.00,"42,300.00"
2019-09-17,2019091701006786,AKPL,41,1,500,139.00,"69,500.00"
2019-09-17,2019091701007089,ALBSL,16,37,10,428.00,"4,280.00"
2019-09-17,2019091701007004,ALBSL,16,49,10,428.00,"4,280.00"
2019-09-17,2019091701006928,API,25,56,50,119.00,"5,950.00"
2019-09-17,2019091701006905,API,25,39,100,117.00,"11,700.00"
2019-09-17,2019091701006904,API,25,54,100,117.00,"11,700.00"
2019-09-17,2019091701006903,API,25,25,250,117.00,"29,250.00"
2019-09-17,2019091701006882,API,25,25,50,117.00,"5,850.00"
2019-09-17,2019091701006855,API,25,41,100,116.00,"11,600.00"
2019-09-17,2019091701006798,API,38,39,100,115.00,"11,500.00"
2019-09-17,2019091701006644,API,44,52,100,115.00,"11,500.00"
2019-09-17,2019091701006643,API,44,25,300,115.00,"34,500.00"
2019-09-17,2019091701006642,API,44,51,"2,000",115.00,"230,000.00"
2019-09-17,2019091701006854,API,25,38,300,116.00,"34,800.00"
2019-09-17,2019091701006853,API,25,41,300,116.00,"34,800.00"
2019-09-17,2019091701006852,API,25,38,327,116.00,"37,932.00"
2019-09-17,2019091701006851,API,25,39,500,116.00,"58,000.00"
2019-09-17,2019091701006850,API,25,39,270,115.00,"31,050.00"
2019-09-17,2019091701006799,API,38,39,230,115.00,"26,450.00"
2019-09-17,2019091701006762,BARUN,56,56,10,88.00,880.00
2019-09-17,2019091701006807,BBC,6,38,10,"1,407.00","14,070.00"
2019-09-17,2019091701006997,BOKL,45,32,220,257.00,"56,540.00"
2019-09-17,2019091701006970,BPCL,33,22,10,367.00,"3,670.00"
2019-09-17,2019091701006696,BPCL,52,49,22,362.00,"7,964.00"
2019-09-17,2019091701007107,CBBL,34,44,10,970.00,"9,700.00"
2019-09-17,2019091701007106,CBBL,34,44,10,970.00,"9,700.00"
2019-09-17,2019091701007024,CCBL,16,10,87,158.00,"13,746.00"
2019-09-17,2019091701006950,CCBL,42,52,10,159.00,"1,590.00"
2019-09-17,2019091701006781,CCBL,16,57,13,158.00,"2,054.00"
2019-09-17,2019091701007100,CHCL,28,8,449,423.00,"189,927.00"
2019-09-17,2019091701007099,CHCL,45,8,400,424.00,"169,600.00"
2019-09-17,2019091701007098,CHCL,49,8,50,424.00,"21,200.00"
2019-09-17,2019091701007097,CHCL,50,8,10,424.00,"4,240.00"
2019-09-17,2019091701007096,CHCL,21,8,91,424.00,"38,584.00"
2019-09-17,2019091701007057,CIT,13,8,266,"1,792.00","476,672.00"
2019-09-17,2019091701007055,CIT,49,49,20,"1,814.00","36,280.00"
2019-09-17,2019091701007005,CIT,13,21,160,"1,792.00","286,720.00"
2019-09-17,2019091701006889,CLBSL,6,11,11,490.00,"5,390.00"
2019-09-17,2019091701007054,CZBIL,55,25,150,200.00,"30,000.00"
2019-09-17,2019091701006765,CZBIL,14,25,200,200.00,"40,000.00"
2019-09-17,2019091701006641,CZBIL,5,20,300,199.00,"59,700.00"
2019-09-17,2019091701006640,CZBIL,5,45,217,199.00,"43,183.00"
2019-09-17,2019091701006639,CZBIL,5,58,188,199.00,"37,412.00"
2019-09-17,2019091701006721,DBBL,20,49,500,128.00,"64,000.00"
2019-09-17,2019091701006678,DBBL,52,49,500,128.00,"64,000.00"
2019-09-17,2019091701006638,DBBL,51,49,500,128.00,"64,000.00"
2019-09-17,2019091701006695,DDBL,49,4,77,715.00,"55,055.00"
2019-09-17,2019091701006821,DHPL,7,50,"1,000",53.00,"53,000.00"
2019-09-17,2019091701006820,DHPL,7,22,500,53.00,"26,500.00"
2019-09-17,2019091701007058,EBL,10,57,20,570.00,"11,400.00"
2019-09-17,2019091701006926,EBL,42,57,60,570.00,"34,200.00"
2019-09-17,2019091701006925,EBL,42,48,40,569.00,"22,760.00"
2019-09-17,2019091701006969,EIC,50,26,10,270.00,"2,700.00"
2019-09-17,2019091701006910,EIC,3,26,50,270.00,"13,500.00"
2019-09-17,2019091701007101,FMDBL,49,52,10,379.00,"3,790.00"
2019-09-17,2019091701006848,FOWAD,47,50,100,"1,255.00","125,500.00"
2019-09-17,2019091701006847,FOWAD,47,50,100,"1,256.00","125,600.00"
2019-09-17,2019091701006846,FOWAD,34,50,40,"1,260.00","50,400.00"
2019-09-17,2019091701006900,GBLBS,18,21,300,328.00,"98,400.00"
2019-09-17,2019091701006883,GBLBS,19,21,300,328.00,"98,400.00"
2019-09-17,2019091701006775,GBLBS,19,21,172,328.00,"56,416.00"
2019-09-17,2019091701006774,GBLBS,19,26,128,328.00,"41,984.00"
2019-09-17,2019091701007034,GFCL,59,11,60,136.00,"8,160.00"
2019-09-17,2019091701007080,GILB,14,7,10,686.00,"6,860.00"
2019-09-17,2019091701006967,GLICL,34,38,150,368.00,"55,200.00"
2019-09-17,2019091701006927,GLICL,6,38,50,368.00,"18,400.00"
2019-09-17,2019091701007046,HBL,42,57,75,500.00,"37,500.00"
2019-09-17,2019091701007045,HBL,42,59,25,500.00,"12,500.00"
2019-09-17,2019091701007108,HDL,58,53,20,"1,504.00","30,080.00"
2019-09-17,2019091701006813,HDL,38,39,25,"1,499.00","37,475.00"
2019-09-17,2019091701006745,HDL,58,39,10,"1,499.00","14,990.00"
2019-09-17,2019091701006819,HGI,59,55,70,265.00,"18,550.00"
2019-09-17,2019091701006818,HGI,33,55,180,265.00,"47,700.00"
2019-09-17,2019091701006817,HGI,36,55,100,268.00,"26,800.00"
2019-09-17,2019091701006816,HGI,58,55,50,270.00,"13,500.00"
2019-09-17,2019091701007088,HIDCL,6,39,11,136.00,"1,496.00"
2019-09-17,2019091701006764,HIDCL,50,55,545,134.00,"73,030.00"
2019-09-17,2019091701006737,HIDCL,47,55,63,135.00,"8,505.00"
2019-09-17,2019091701006812,HPPL,45,36,300,136.00,"40,800.00"
2019-09-17,2019091701006728,IGI,38,35,50,295.00,"14,750.00"
2019-09-17,2019091701006727,IGI,49,35,100,295.00,"29,500.00"
2019-09-17,2019091701006726,IGI,6,35,50,295.00,"14,750.00"
2019-09-17,2019091701006682,ILBS,57,8,10,439.00,"4,390.00"
2019-09-17,2019091701006681,ILBS,57,22,80,439.00,"35,120.00"
2019-09-17,2019091701006653,ILBS,54,22,20,439.00,"8,780.00"
2019-09-17,2019091701006793,JFL,20,32,10,199.00,"1,990.00"
2019-09-17,2019091701007126,KBL,25,39,10,185.00,"1,850.00"
2019-09-17,2019091701006915,KBL,36,8,200,184.00,"36,800.00"
2019-09-17,2019091701006914,KBL,36,34,500,184.00,"92,000.00"
2019-09-17,2019091701006913,KBL,36,51,100,184.00,"18,400.00"
2019-09-17,2019091701006912,KBL,36,48,200,184.00,"36,800.00"
2019-09-17,2019091701006911,KBL,36,44,828,184.00,"152,352.00"
2019-09-17,2019091701006709,KBL,10,44,500,184.00,"92,000.00"
2019-09-17,2019091701006844,KSBBL,14,21,100,142.00,"14,200.00"
2019-09-17,2019091701007043,LBBL,33,45,10,174.00,"1,740.00"
2019-09-17,2019091701007009,LBBL,57,45,20,174.00,"3,480.00"
2019-09-17,2019091701007008,LBBL,49,45,40,174.00,"6,960.00"
2019-09-17,2019091701007109,LBL,34,25,10,216.00,"2,160.00"
2019-09-17,2019091701007094,LBL,32,25,10,216.00,"2,160.00"
2019-09-17,2019091701007030,LBL,13,11,100,215.00,"21,500.00"
2019-09-17,2019091701007029,LBL,13,50,90,215.00,"19,350.00"
2019-09-17,2019091701006648,LBL,32,50,10,215.00,"2,150.00"
2019-09-17,2019091701006849,LGIL,53,44,700,356.00,"249,200.00"
2019-09-17,2019091701007025,LLBS,18,45,50,679.00,"33,950.00"
2019-09-17,2019091701006828,LLBS,18,35,38,679.00,"25,802.00"
2019-09-17,2019091701006797,MBL,35,35,2,250.00,500.00
2019-09-17,2019091701006735,MBL,16,11,500,251.00,"125,500.00"
2019-09-17,2019091701007121,MEGA,50,34,27,195.00,"5,265.00"
2019-09-17,2019091701007111,MEGA,43,36,10,197.00,"1,970.00"
2019-09-17,2019091701006675,MEGA,50,36,100,196.00,"19,600.00"
