Date,Transact. No.,Symbol,Buyer,Seller,Quantity,Rate,Amount
2020-07-08,2020070801019426,ADBL,26,57,53,368.00,"19,504.00"
2020-07-08,2020070801019425,ADBL,41,57,14,368.00,"5,152.00"
2020-07-08,2020070801019318,ADBL,41,52,21,368.00,"7,728.00"
2020-07-08,2020070801019507,AHPC,43,6,100,94.00,"9,400.00"
2020-07-08,2020070801019433,AHPC,43,6,100,94.00,"9,400.00"
2020-07-08,2020070801019534,ALICL,16,38,50,585.00,"29,250.00"
2020-07-08,2020070801019492,ALICL,34,38,10,585.00,"5,850.00"
2020-07-08,2020070801019418,BNT,32,17,10,"6,203.00","62,030.00"
2020-07-08,2020070801019297,BNT,34,17,10,"6,203.00","62,030.00"
2020-07-08,2020070801019459,BOKL,49,44,200,215.00,"43,000.00"
2020-07-08,2020070801019131,BOKL,34,44,47,213.00,"10,011.00"
2020-07-08,2020070801019093,BOKL,47,44,500,213.00,"106,500.00"
2020-07-08,2020070801019050,BOKL,25,44,168,213.00,"35,784.00"
2020-07-08,2020070801019049,BOKL,16,44,"2,170",213.00,"462,210.00"
2020-07-08,2020070801019048,BOKL,34,44,115,213.00,"24,495.00"
2020-07-08,2020070801019517,BPCL,6,33,142,360.00,"51,120.00"
2020-07-08,2020070801019516,BPCL,6,50,108,360.00,"38,880.00"
2020-07-08,2020070801019354,CBL,49,8,"1,500",140.00,"210,000.00"
2020-07-08,2020070801019353,CBL,49,8,"1,000",140.00,"140,000.00"
2020-07-08,2020070801019352,CBL,49,48,24,139.00,"3,336.00"
2020-07-08,2020070801019351,CBL,49,25,390,139.00,"54,210.00"
2020-07-08,2020070801019138,CCBL,39,42,17,165.00,"2,805.00"
2020-07-08,2020070801019056,CCBL,32,42,100,165.00,"16,500.00"
2020-07-08,2020070801019055,CCBL,49,42,117,166.00,"19,422.00"
2020-07-08,2020070801019054,CCBL,17,42,63,167.00,"10,521.00"
2020-07-08,2020070801019240,CHCL,45,10,11,380.00,"4,180.00"
2020-07-08,2020070801019522,CIT,34,22,100,"2,425.00","242,500.00"
2020-07-08,2020070801019486,CIT,17,22,29,"2,425.00","70,325.00"
2020-07-08,2020070801019365,CIT,17,35,20,"2,425.00","48,500.00"
2020-07-08,2020070801019326,CIT,17,58,51,"2,425.00","123,675.00"
2020-07-08,2020070801019325,CIT,21,58,10,"2,427.00","24,270.00"
2020-07-08,2020070801019073,CIT,48,37,10,"2,430.00","24,300.00"
2020-07-08,2020070801019066,CIT,56,37,20,"2,435.00","48,700.00"
2020-07-08,2020070801019072,CIT,5,37,50,"2,430.00","121,500.00"
2020-07-08,2020070801019071,CIT,5,37,50,"2,430.00","121,500.00"
2020-07-08,2020070801019070,CIT,45,37,50,"2,430.00","121,500.00"
2020-07-08,2020070801019069,CIT,53,37,200,"2,431.00","486,200.00"
2020-07-08,2020070801019068,CIT,6,37,100,"2,432.00","243,200.00"
2020-07-08,2020070801019067,CIT,26,37,30,"2,433.00","72,990.00"
2020-07-08,2020070801019467,CZBIL,28,40,100,186.00,"18,600.00"
2020-07-08,2020070801019327,CZBIL,19,10,10,186.00,"1,860.00"
2020-07-08,2020070801019420,DDBL,57,28,100,835.00,"83,500.00"
2020-07-08,2020070801019475,EBL,56,28,25,660.00,"16,500.00"
2020-07-08,2020070801019469,EBL,16,28,10,660.00,"6,600.00"
2020-07-08,2020070801019536,FMDBL,38,36,45,513.00,"23,085.00"
2020-07-08,2020070801019236,FMDBL,56,38,100,509.00,"50,900.00"
2020-07-08,2020070801019491,GBIME,48,38,113,243.00,"27,459.00"
