Date,Transact. No.,Symbol,Buyer,Seller,Quantity,Rate,Amount
2019-10-21,2019102101003422,ADBL,39,58,137,412.00,"56,444.00"
2019-10-21,2019102101003184,ADBL,45,59,500,411.00,"205,500.00"
2019-10-21,2019102101003183,ADBL,13,59,500,411.00,"205,500.00"
2019-10-21,2019102101003159,ADBL,56,58,200,412.00,"82,400.00"
2019-10-21,2019102101003158,ADBL,52,58,58,412.00,"23,896.00"
2019-10-21,2019102101003147,ADBL,28,58,150,413.00,"61,950.00"
2019-10-21,2019102101002926,ADBL,39,21,326,412.00,"134,312.00"
2019-10-21,2019102101003114,ADBL,52,58,42,412.00,"17,304.00"
2019-10-21,2019102101003113,ADBL,6,58,458,412.00,"188,696.00"
2019-10-21,2019102101003055,ADBL,39,58,50,413.00,"20,650.00"
2019-10-21,2019102101003027,ADBL,39,58,100,413.00,"41,300.00"
2019-10-21,2019102101003020,ADBL,39,58,100,413.00,"41,300.00"
2019-10-21,2019102101002927,ADBL,6,21,174,412.00,"71,688.00"
2019-10-21,2019102101003289,AHPC,28,28,500,94.00,"47,000.00"
2019-10-21,2019102101003380,AKBSL,14,32,10,415.00,"4,150.00"
2019-10-21,2019102101003379,AKBSL,14,57,50,415.00,"20,750.00"
2019-10-21,2019102101003378,AKBSL,14,42,10,415.00,"4,150.00"
2019-10-21,2019102101003377,AKBSL,14,32,10,415.00,"4,150.00"
2019-10-21,2019102101003376,AKBSL,14,28,10,415.00,"4,150.00"
2019-10-21,2019102101003375,AKBSL,14,46,10,415.00,"4,150.00"
2019-10-21,2019102101003374,AKBSL,14,41,20,412.00,"8,240.00"
2019-10-21,2019102101003423,AKJCL,49,59,10,54.00,540.00
2019-10-21,2019102101003209,API,25,41,30,111.00,"3,330.00"
2019-10-21,2019102101003165,API,25,51,50,110.00,"5,500.00"
2019-10-21,2019102101002986,API,55,7,18,108.00,"1,944.00"
2019-10-21,2019102101003249,BFC,34,52,39,90.00,"3,510.00"
2019-10-21,2019102101003248,BFC,14,52,600,90.00,"54,000.00"
2019-10-21,2019102101003247,BFC,42,52,100,90.00,"9,000.00"
2019-10-21,2019102101003246,BFC,8,52,50,90.00,"4,500.00"
2019-10-21,2019102101003096,BFC,57,52,100,91.00,"9,100.00"
2019-10-21,2019102101003425,BOKL,42,5,20,226.00,"4,520.00"
2019-10-21,2019102101003329,BOKL,44,5,251,222.00,"55,722.00"
2019-10-21,2019102101003328,BOKL,57,5,333,223.00,"74,259.00"
2019-10-21,2019102101003327,BOKL,35,5,100,223.00,"22,300.00"
2019-10-21,2019102101003326,BOKL,4,5,300,223.00,"66,900.00"
2019-10-21,2019102101003325,BOKL,6,5,100,223.00,"22,300.00"
2019-10-21,2019102101003300,BOKL,6,5,500,226.00,"113,000.00"
2019-10-21,2019102101003299,BOKL,11,5,200,226.00,"45,200.00"
2019-10-21,2019102101003298,BOKL,42,5,"1,423",226.00,"321,598.00"
2019-10-21,2019102101003132,BOKL,42,41,536,226.00,"121,136.00"
2019-10-21,2019102101003306,BOKL,7,5,30,225.00,"6,750.00"
2019-10-21,2019102101003305,BOKL,42,5,210,225.00,"47,250.00"
2019-10-21,2019102101003304,BOKL,55,5,500,225.00,"112,500.00"
2019-10-21,2019102101003303,BOKL,32,5,100,225.00,"22,500.00"
2019-10-21,2019102101003302,BOKL,49,5,107,226.00,"24,182.00"
2019-10-21,2019102101003301,BOKL,35,5,300,226.00,"67,800.00"
2019-10-21,2019102101003312,BOKL,36,5,25,225.00,"5,625.00"
2019-10-21,2019102101003311,BOKL,44,5,200,225.00,"45,000.00"
2019-10-21,2019102101003310,BOKL,46,5,50,225.00,"11,250.00"
2019-10-21,2019102101003309,BOKL,57,5,111,225.00,"24,975.00"
2019-10-21,2019102101003308,BOKL,21,5,100,225.00,"22,500.00"
2019-10-21,2019102101003307,BOKL,7,5,100,225.00,"22,500.00"
2019-10-21,2019102101003318,BOKL,57,5,500,224.00,"112,000.00"
2019-10-21,2019102101003317,BOKL,49,5,"2,000",224.00,"448,000.00"
2019-10-21,2019102101003316,BOKL,32,5,288,224.00,"64,512.00"
2019-10-21,2019102101003315,BOKL,42,5,100,224.00,"22,400.00"
2019-10-21,2019102101003314,BOKL,11,5,50,224.00,"11,200.00"
2019-10-21,2019102101003313,BOKL,6,5,"1,000",225.00,"225,000.00"
2019-10-21,2019102101003324,BOKL,44,5,400,223.00,"89,200.00"
2019-10-21,2019102101003323,BOKL,39,5,500,223.00,"111,500.00"
2019-10-21,2019102101003322,BOKL,11,5,500,223.00,"111,500.00"
2019-10-21,2019102101003321,BOKL,19,5,200,224.00,"44,800.00"
2019-10-21,2019102101003320,BOKL,57,5,222,224.00,"49,728.00"
2019-10-21,2019102101003319,BOKL,21,5,200,224.00,"44,800.00"
2019-10-21,2019102101003402,BPCL,39,48,33,358.00,"11,814.00"
2019-10-21,2019102101003354,BPCL,14,32,44,359.00,"15,796.00"
2019-10-21,2019102101003293,BPCL,39,21,100,358.00,"35,800.00"
2019-10-21,2019102101003108,BPCL,39,43,60,358.00,"21,480.00"
2019-10-21,2019102101003388,CBBL,28,17,130,964.00,"125,320.00"
2019-10-21,2019102101003042,CBBL,42,17,100,964.00,"96,400.00"
2019-10-21,2019102101003359,CBL,43,51,10,142.00,"1,420.00"
2019-10-21,2019102101003175,CBL,7,48,487,141.00,"68,667.00"
2019-10-21,2019102101003174,CBL,22,48,100,141.00,"14,100.00"
2019-10-21,2019102101003173,CBL,45,48,18,141.00,"2,538.00"
2019-10-21,2019102101003107,CBL,45,50,82,141.00,"11,562.00"
2019-10-21,2019102101003106,CBL,11,50,100,141.00,"14,100.00"
2019-10-21,2019102101003099,CBL,46,50,200,141.00,"28,200.00"
2019-10-21,2019102101003098,CBL,41,50,40,141.00,"5,640.00"
2019-10-21,2019102101003097,CBL,34,50,28,141.00,"3,948.00"
2019-10-21,2019102101003036,CBL,37,51,770,142.00,"109,340.00"
