Date,Transact. No.,Symbol,Buyer,Seller,Quantity,Rate,Amount
2020-02-18,2020021801020819,ADBL,39,58,10,398.00,"3,980.00"
2020-02-18,2020021801020802,ADBL,43,53,300,395.00,"118,500.00"
2020-02-18,2020021801020801,ADBL,14,53,700,396.00,"277,200.00"
2020-02-18,2020021801020844,AKPL,45,45,500,137.00,"68,500.00"
2020-02-18,2020021801020843,AKPL,13,45,100,137.00,"13,700.00"
2020-02-18,2020021801020842,AKPL,43,45,500,137.00,"68,500.00"
2020-02-18,2020021801020840,AKPL,5,40,"2,000",138.00,"276,000.00"
2020-02-18,2020021801020657,AKPL,58,40,"1,000",138.00,"138,000.00"
2020-02-18,2020021801020604,AKPL,45,40,100,138.00,"13,800.00"
2020-02-18,2020021801020778,ALBSL,34,25,128,780.00,"99,840.00"
2020-02-18,2020021801020777,ALBSL,34,7,500,780.00,"390,000.00"
2020-02-18,2020021801020770,ALBSL,34,1,50,775.00,"38,750.00"
2020-02-18,2020021801020776,ALBSL,34,36,50,780.00,"39,000.00"
2020-02-18,2020021801020775,ALBSL,34,28,50,779.00,"38,950.00"
2020-02-18,2020021801020774,ALBSL,34,1,20,777.00,"15,540.00"
2020-02-18,2020021801020773,ALBSL,34,33,52,777.00,"40,404.00"
2020-02-18,2020021801020772,ALBSL,34,1,50,776.00,"38,800.00"
2020-02-18,2020021801020771,ALBSL,34,40,100,776.00,"77,600.00"
2020-02-18,2020021801020804,ALICL,5,26,200,632.00,"126,400.00"
2020-02-18,2020021801020735,ALICL,45,26,200,630.00,"126,000.00"
2020-02-18,2020021801020734,ALICL,32,7,10,629.00,"6,290.00"
2020-02-18,2020021801020639,ALICL,22,7,410,629.00,"257,890.00"
2020-02-18,2020021801020638,ALICL,22,45,90,628.00,"56,520.00"
2020-02-18,2020021801020586,ALICL,16,45,110,628.00,"69,080.00"
2020-02-18,2020021801020585,ALICL,58,45,100,628.00,"62,800.00"
2020-02-18,2020021801020553,ALICL,36,7,80,629.00,"50,320.00"
2020-02-18,2020021801020539,ALICL,36,43,52,629.00,"32,708.00"
2020-02-18,2020021801020423,ALICL,16,16,90,630.00,"56,700.00"
2020-02-18,2020021801020607,API,25,45,50,139.00,"6,950.00"
2020-02-18,2020021801020584,API,49,25,"1,500",138.00,"207,000.00"
2020-02-18,2020021801020494,API,11,25,500,138.00,"69,000.00"
2020-02-18,2020021801020741,BFC,55,32,449,109.00,"48,941.00"
2020-02-18,2020021801020788,BPCL,28,37,10,347.00,"3,470.00"
2020-02-18,2020021801020650,BPCL,53,3,300,345.00,"103,500.00"
2020-02-18,2020021801020592,BPCL,45,3,100,345.00,"34,500.00"
2020-02-18,2020021801020591,BPCL,36,3,100,345.00,"34,500.00"
2020-02-18,2020021801020652,CBL,32,40,20,154.00,"3,080.00"
2020-02-18,2020021801020421,CCBL,45,45,373,187.00,"69,751.00"
2020-02-18,2020021801020420,CCBL,45,22,127,187.00,"23,749.00"
2020-02-18,2020021801020471,CFCL,45,43,173,150.00,"25,950.00"
2020-02-18,2020021801020374,CFCL,4,43,316,150.00,"47,400.00"
2020-02-18,2020021801020462,CHCL,35,53,100,424.00,"42,400.00"
2020-02-18,2020021801020748,CIT,33,46,20,"2,750.00","55,000.00"
2020-02-18,2020021801020690,CIT,33,3,80,"2,750.00","220,000.00"
2020-02-18,2020021801020535,CIT,49,37,20,"2,755.00","55,100.00"
2020-02-18,2020021801020534,CIT,49,51,25,"2,754.00","68,850.00"
2020-02-18,2020021801020848,DDBL,21,14,67,885.00,"59,295.00"
2020-02-18,2020021801020847,DDBL,21,1,33,885.00,"29,205.00"
2020-02-18,2020021801020846,DDBL,49,1,167,885.00,"147,795.00"
2020-02-18,2020021801020808,DDBL,3,6,32,886.00,"28,352.00"
2020-02-18,2020021801020807,DDBL,39,6,300,886.00,"265,800.00"
2020-02-18,2020021801020762,DDBL,39,29,200,886.00,"177,200.00"
2020-02-18,2020021801020683,DDBL,29,6,40,888.00,"35,520.00"
2020-02-18,2020021801020605,DDBL,29,17,100,888.00,"88,800.00"
2020-02-18,2020021801020583,DDBL,3,17,40,888.00,"35,520.00"
2020-02-18,2020021801020526,DDBL,49,17,60,888.00,"53,280.00"
2020-02-18,2020021801020525,DDBL,39,17,50,888.00,"44,400.00"
2020-02-18,2020021801020380,DDBL,21,14,100,890.00,"89,000.00"
2020-02-18,2020021801020610,EBL,36,44,800,665.00,"532,000.00"
2020-02-18,2020021801020609,EBL,25,44,100,666.00,"66,600.00"
2020-02-18,2020021801020608,EBL,58,44,100,666.00,"66,600.00"
2020-02-18,2020021801020733,EBL,50,44,500,669.00,"334,500.00"
2020-02-18,2020021801020706,EBL,50,44,10,669.00,"6,690.00"
2020-02-18,2020021801020780,EBL,6,35,10,670.00,"6,700.00"
2020-02-18,2020021801020779,EBL,6,44,490,669.00,"327,810.00"
2020-02-18,2020021801020791,EDBL,4,57,100,365.00,"36,500.00"
2020-02-18,2020021801020707,EDBL,4,43,50,365.00,"18,250.00"
2020-02-18,2020021801020766,EIC,17,17,50,448.00,"22,400.00"
2020-02-18,2020021801020698,EIC,10,17,100,448.00,"44,800.00"
2020-02-18,2020021801020597,EIC,51,17,220,445.00,"97,900.00"
2020-02-18,2020021801020596,EIC,16,17,300,445.00,"133,500.00"
2020-02-18,2020021801020595,EIC,37,17,480,446.00,"214,080.00"
2020-02-18,2020021801020446,EIC,45,17,55,448.00,"24,640.00"
2020-02-18,2020021801020437,EIC,37,3,20,446.00,"8,920.00"
2020-02-18,2020021801020397,EIC,58,17,120,448.00,"53,760.00"
2020-02-18,2020021801020633,FMDBL,22,34,500,488.00,"244,000.00"
2020-02-18,2020021801020594,FMDBL,57,51,500,487.00,"243,500.00"
2020-02-18,2020021801020505,FMDBL,57,14,49,486.00,"23,814.00"
2020-02-18,2020021801020504,FMDBL,57,6,149,485.00,"72,265.00"
2020-02-18,2020021801020503,FMDBL,57,34,10,485.00,"4,850.00"
2020-02-18,2020021801020502,FMDBL,57,56,90,484.00,"43,560.00"
2020-02-18,2020021801020450,FMDBL,43,34,"1,000",483.00,"483,000.00"
2020-02-18,2020021801020419,FMDBL,39,58,351,480.00,"168,480.00"
2020-02-18,2020021801020378,FMDBL,39,28,500,480.00,"240,000.00"
2020-02-18,2020021801020377,FMDBL,39,16,100,480.00,"48,000.00"
2020-02-18,2020021801020376,FMDBL,39,36,100,480.00,"48,000.00"
2020-02-18,2020021801020790,FOWAD,5,57,48,"1,576.00","75,648.00"
2020-02-18,2020021801020458,GBIME,32,45,200,286.00,"57,200.00"
2020-02-18,2020021801020455,GBIME,37,45,50,286.00,"14,300.00"
2020-02-18,2020021801020747,GBLBS,16,26,10,499.00,"4,990.00"
2020-02-18,2020021801020497,GFCL,34,26,210,152.00,"31,920.00"
2020-02-18,2020021801020496,GFCL,34,44,290,152.00,"44,080.00"
2020-02-18,2020021801020611,GGBSL,39,25,10,903.00,"9,030.00"
2020-02-18,2020021801020551,GGBSL,38,25,30,905.00,"27,150.00"
2020-02-18,2020021801020477,GGBSL,38,25,40,905.00,"36,200.00"
2020-02-18,2020021801020813,GLICL,34,45,82,813.00,"66,666.00"
2020-02-18,2020021801020794,GLICL,45,45,300,813.00,"243,900.00"
2020-02-18,2020021801020793,GLICL,45,45,100,813.00,"81,300.00"
2020-02-18,2020021801020792,GLICL,53,45,10,817.00,"8,170.00"
2020-02-18,2020021801020536,GLICL,6,22,50,812.00,"40,600.00"
2020-02-18,2020021801020528,GLICL,6,16,80,812.00,"64,960.00"
2020-02-18,2020021801020491,GLICL,7,16,100,812.00,"81,200.00"
2020-02-18,2020021801020478,GLICL,45,22,50,811.00,"40,550.00"
2020-02-18,2020021801020448,GLICL,45,22,50,811.00,"40,550.00"
2020-02-18,2020021801020439,GLICL,42,16,20,812.00,"16,240.00"
2020-02-18,2020021801020373,GLICL,6,16,300,812.00,"243,600.00"
2020-02-18,2020021801020830,GMFBS,54,43,10,976.00,"9,760.00"
2020-02-18,2020021801020701,GMFBS,34,28,10,995.00,"9,950.00"
2020-02-18,2020021801020662,GMFBS,34,38,25,984.00,"24,600.00"
2020-02-18,2020021801020661,GMFBS,34,57,100,980.00,"98,000.00"
2020-02-18,2020021801020760,HBL,39,45,20,569.00,"11,380.00"
2020-02-18,2020021801020580,HBL,32,45,10,569.00,"5,690.00"
2020-02-18,2020021801020481,HBL,34,55,200,566.00,"113,200.00"
2020-02-18,2020021801020480,HBL,34,55,500,566.00,"283,000.00"
2020-02-18,2020021801020395,HBL,55,55,500,566.00,"283,000.00"
2020-02-18,2020021801020712,HDL,14,6,155,"1,429.00","221,495.00"
2020-02-18,2020021801020711,HDL,14,48,45,"1,425.00","64,125.00"
2020-02-18,2020021801020616,HDL,58,48,65,"1,425.00","92,625.00"
2020-02-18,2020021801020615,HDL,22,48,20,"1,428.00","28,560.00"
2020-02-18,2020021801020614,HDL,14,48,50,"1,429.00","71,450.00"
2020-02-18,2020021801020613,HDL,57,48,20,"1,429.00","28,580.00"
2020-02-18,2020021801020417,HDL,29,57,40,"1,430.00","57,200.00"
2020-02-18,2020021801020500,HDL,57,20,10,"1,429.00","14,290.00"
2020-02-18,2020021801020483,HDL,57,22,20,"1,429.00","28,580.00"
2020-02-18,2020021801020482,HDL,25,22,180,"1,429.00","257,220.00"
2020-02-18,2020021801020472,HDL,25,17,100,"1,429.00","142,900.00"
2020-02-18,2020021801020427,HDL,45,44,50,"1,430.00","71,500.00"
2020-02-18,2020021801020418,HDL,29,44,60,"1,430.00","85,800.00"
2020-02-18,2020021801020718,HGI,45,46,30,444.00,"13,320.00"
2020-02-18,2020021801020715,HGI,33,25,100,440.00,"44,000.00"
2020-02-18,2020021801020714,HGI,57,25,400,440.00,"176,000.00"
2020-02-18,2020021801020490,HGI,57,3,100,440.00,"44,000.00"
2020-02-18,2020021801020489,HGI,52,3,100,440.00,"44,000.00"
2020-02-18,2020021801020466,HGI,16,3,200,442.00,"88,400.00"
2020-02-18,2020021801020465,HGI,51,3,200,443.00,"88,600.00"
2020-02-18,2020021801020663,HIDCL,29,35,150,139.00,"20,850.00"
2020-02-18,2020021801020533,HIDCL,25,17,63,138.00,"8,694.00"
2020-02-18,2020021801020511,HIDCL,25,22,61,138.00,"8,418.00"
2020-02-18,2020021801020365,HIDCL,50,26,798,137.00,"109,326.00"
2020-02-18,2020021801020364,HIDCL,51,26,200,138.00,"27,600.00"
2020-02-18,2020021801020623,ICFC,48,4,183,182.00,"33,306.00"
2020-02-18,2020021801020379,ICFC,47,4,200,182.00,"36,400.00"
2020-02-18,2020021801020845,IGI,3,55,10,477.00,"4,770.00"
2020-02-18,2020021801020818,ILBS,10,13,10,917.00,"9,170.00"
2020-02-18,2020021801020498,JBBL,57,22,270,191.00,"51,570.00"
2020-02-18,2020021801020694,KBL,34,28,778,197.00,"153,266.00"
2020-02-18,2020021801020593,KBL,49,35,100,196.00,"19,600.00"
2020-02-18,2020021801020366,KBL,19,28,45,197.00,"8,865.00"
2020-02-18,2020021801020362,KBL,49,28,41,197.00,"8,077.00"
2020-02-18,2020021801020612,KSBBL,33,44,607,168.00,"101,976.00"
2020-02-18,2020021801020636,LBBL,46,6,339,194.00,"65,766.00"
