Date,Transact. No.,Symbol,Buyer,Seller,Quantity,Rate,Amount
2019-10-16,2019101601002734,ADBL,25,58,60,414.00,"24,840.00"
2019-10-16,2019101601002922,AHPC,14,52,30,96.00,"2,880.00"
2019-10-16,2019101601002921,AHPC,57,52,20,97.00,"1,940.00"
2019-10-16,2019101601002919,AKBSL,43,47,10,414.00,"4,140.00"
2019-10-16,2019101601002677,AKBSL,43,54,10,412.00,"4,120.00"
2019-10-16,2019101601002670,AKBSL,43,47,10,409.00,"4,090.00"
2019-10-16,2019101601002587,AKBSL,42,41,370,405.00,"149,850.00"
2019-10-16,2019101601002586,AKBSL,42,41,50,405.00,"20,250.00"
2019-10-16,2019101601002585,AKBSL,43,41,30,406.00,"12,180.00"
2019-10-16,2019101601002755,ALBSL,42,41,10,390.00,"3,900.00"
2019-10-16,2019101601002754,ALBSL,42,1,65,390.00,"25,350.00"
2019-10-16,2019101601002753,ALBSL,42,14,10,389.00,"3,890.00"
2019-10-16,2019101601002938,ALICL,26,42,10,317.00,"3,170.00"
2019-10-16,2019101601002937,ALICL,25,42,70,318.00,"22,260.00"
2019-10-16,2019101601002867,ALICL,45,42,20,319.00,"6,380.00"
2019-10-16,2019101601002741,ALICL,25,38,30,318.00,"9,540.00"
2019-10-16,2019101601002907,API,25,51,21,115.00,"2,415.00"
2019-10-16,2019101601002906,API,25,38,479,114.00,"54,606.00"
2019-10-16,2019101601002784,API,1,25,930,113.00,"105,090.00"
2019-10-16,2019101601002783,API,45,25,30,113.00,"3,390.00"
2019-10-16,2019101601002782,API,41,25,40,113.00,"4,520.00"
2019-10-16,2019101601002644,API,25,52,29,114.00,"3,306.00"
2019-10-16,2019101601002975,BNT,55,17,10,"6,446.00","64,460.00"
2019-10-16,2019101601002968,BOKL,26,37,308,227.00,"69,916.00"
2019-10-16,2019101601002726,BOKL,39,37,50,229.00,"11,450.00"
2019-10-16,2019101601002675,BOKL,26,59,28,227.00,"6,356.00"
2019-10-16,2019101601002668,BOKL,34,37,"1,000",228.00,"228,000.00"
2019-10-16,2019101601002667,BOKL,59,37,58,228.00,"13,224.00"
2019-10-16,2019101601002666,BOKL,4,37,200,228.00,"45,600.00"
2019-10-16,2019101601002659,BOKL,32,37,200,228.00,"45,600.00"
2019-10-16,2019101601002658,BOKL,44,37,200,228.00,"45,600.00"
2019-10-16,2019101601002657,BOKL,45,37,200,228.00,"45,600.00"
2019-10-16,2019101601002656,BOKL,48,37,35,229.00,"8,015.00"
