Date,Transact. No.,Symbol,Buyer,Seller,Quantity,Rate,Amount
2020-08-17,2020081701016712,ADBL,14,41,64,415.00,"26,560.00"
2020-08-17,2020081701016711,ADBL,14,41,500,414.00,"207,000.00"
2020-08-17,2020081701016710,ADBL,14,11,50,414.00,"20,700.00"
2020-08-17,2020081701016709,ADBL,14,45,161,414.00,"66,654.00"
2020-08-17,2020081701016708,ADBL,14,46,325,413.00,"134,225.00"
2020-08-17,2020081701016422,ADBL,6,46,175,413.00,"72,275.00"
2020-08-17,2020081701016421,ADBL,6,45,25,413.00,"10,325.00"
2020-08-17,2020081701016653,AHPC,37,51,94,93.00,"8,742.00"
2020-08-17,2020081701016652,AHPC,38,51,100,93.00,"9,300.00"
2020-08-17,2020081701016651,AHPC,5,51,500,93.00,"46,500.00"
2020-08-17,2020081701016650,AHPC,22,51,306,93.00,"28,458.00"
2020-08-17,2020081701016668,AIL,45,58,10,492.00,"4,920.00"
2020-08-17,2020081701016657,AIL,46,58,20,492.00,"9,840.00"
2020-08-17,2020081701016643,AIL,46,47,10,492.00,"4,920.00"
2020-08-17,2020081701016602,AIL,46,55,10,492.00,"4,920.00"
2020-08-17,2020081701016585,AIL,46,7,10,492.00,"4,920.00"
2020-08-17,2020081701016567,AIL,46,47,10,492.00,"4,920.00"
2020-08-17,2020081701016291,AIL,29,47,10,491.00,"4,910.00"
2020-08-17,2020081701016259,AIL,29,47,10,491.00,"4,910.00"
2020-08-17,2020081701016245,AIL,6,7,10,491.00,"4,910.00"
2020-08-17,2020081701016239,AIL,45,55,10,491.00,"4,910.00"
2020-08-17,2020081701016227,AIL,45,47,10,491.00,"4,910.00"
2020-08-17,2020081701016403,AIL,33,17,10,493.00,"4,930.00"
2020-08-17,2020081701016385,AIL,49,47,10,492.00,"4,920.00"
2020-08-17,2020081701016361,AIL,49,55,10,492.00,"4,920.00"
2020-08-17,2020081701016338,AIL,49,47,10,492.00,"4,920.00"
2020-08-17,2020081701016309,AIL,49,45,10,492.00,"4,920.00"
2020-08-17,2020081701016298,AIL,49,55,10,492.00,"4,920.00"
2020-08-17,2020081701016523,AIL,46,55,10,492.00,"4,920.00"
2020-08-17,2020081701016510,AIL,46,47,10,492.00,"4,920.00"
2020-08-17,2020081701016470,AIL,46,51,10,492.00,"4,920.00"
2020-08-17,2020081701016463,AIL,46,42,10,492.00,"4,920.00"
2020-08-17,2020081701016415,AIL,29,55,10,491.00,"4,910.00"
