Date,Transact. No.,Symbol,Buyer,Seller,Quantity,Rate,Amount
2020-12-24,2020122404001420,BBC,43,36,10,"2,690.00","26,900.00"
2020-12-24,2020122404001401,CMF1,25,34,300,10.13,"3,039.00"
2020-12-24,2020122404001334,CMF1,25,53,200,10.13,"2,026.00"
2020-12-24,2020122404001161,CMF1,25,38,200,9.98,"1,996.00"
2020-12-24,2020122404001121,CMF1,14,29,200,9.82,"1,964.00"
2020-12-24,2020122404001115,CMF1,14,34,100,9.82,982.00
2020-12-24,2020122404001059,GBD80/81,57,3,25,"1,071.00","26,775.00"
2020-12-24,2020122404001058,GBD80/81,57,49,25,"1,070.00","26,750.00"
2020-12-24,2020122404001478,GIC,58,26,20,552.00,"11,040.00"
2020-12-24,2020122404001477,GIC,49,29,10,551.00,"5,510.00"
2020-12-24,2020122404001475,GIC,49,26,20,552.00,"11,040.00"
2020-12-24,2020122404001472,GIC,53,29,10,552.00,"5,520.00"
2020-12-24,2020122404001464,GIC,42,29,10,552.00,"5,520.00"
2020-12-24,2020122404001463,GIC,42,18,10,552.00,"5,520.00"
2020-12-24,2020122404000992,GIC,34,43,10,552.00,"5,520.00"
2020-12-24,2020122404000989,GIC,34,10,10,552.00,"5,520.00"
2020-12-24,2020122404000988,GIC,34,6,10,552.00,"5,520.00"
2020-12-24,2020122404000986,GIC,34,22,10,552.00,"5,520.00"
2020-12-24,2020122404000982,GIC,21,21,10,551.00,"5,510.00"
2020-12-24,2020122404000980,GIC,21,43,10,551.00,"5,510.00"
2020-12-24,2020122404001048,GIC,21,7,10,551.00,"5,510.00"
2020-12-24,2020122404001040,GIC,21,7,10,551.00,"5,510.00"
2020-12-24,2020122404001037,GIC,35,7,10,552.00,"5,520.00"
2020-12-24,2020122404001021,GIC,34,45,10,552.00,"5,520.00"
2020-12-24,2020122404001020,GIC,35,35,10,553.00,"5,530.00"
2020-12-24,2020122404001017,GIC,34,21,10,552.00,"5,520.00"
2020-12-24,2020122404001063,GIC,46,38,10,551.00,"5,510.00"
2020-12-24,2020122404001060,GIC,35,35,10,553.00,"5,530.00"
2020-12-24,2020122404001056,GIC,46,7,10,551.00,"5,510.00"
2020-12-24,2020122404001055,GIC,46,57,30,551.00,"16,530.00"
2020-12-24,2020122404001054,GIC,49,57,50,551.00,"27,550.00"
2020-12-24,2020122404001053,GIC,21,57,20,551.00,"11,020.00"
2020-12-24,2020122404001077,GIC,38,7,10,550.00,"5,500.00"
2020-12-24,2020122404001076,GIC,38,17,10,550.00,"5,500.00"
2020-12-24,2020122404001073,GIC,38,38,10,550.00,"5,500.00"
2020-12-24,2020122404001070,GIC,38,8,10,550.00,"5,500.00"
2020-12-24,2020122404001069,GIC,38,7,10,550.00,"5,500.00"
2020-12-24,2020122404001065,GIC,34,44,10,550.00,"5,500.00"
2020-12-24,2020122404001094,GIC,38,7,10,550.00,"5,500.00"
2020-12-24,2020122404001087,GIC,46,58,10,552.00,"5,520.00"
2020-12-24,2020122404001086,GIC,38,38,10,550.00,"5,500.00"
2020-12-24,2020122404001082,GIC,38,38,10,550.00,"5,500.00"
2020-12-24,2020122404001080,GIC,38,44,10,550.00,"5,500.00"
2020-12-24,2020122404001078,GIC,38,38,10,550.00,"5,500.00"
2020-12-24,2020122404001109,GIC,38,38,10,550.00,"5,500.00"
2020-12-24,2020122404001107,GIC,38,38,10,550.00,"5,500.00"
2020-12-24,2020122404001106,GIC,38,17,10,550.00,"5,500.00"
2020-12-24,2020122404001104,GIC,38,7,10,550.00,"5,500.00"
2020-12-24,2020122404001099,GIC,38,44,10,550.00,"5,500.00"
2020-12-24,2020122404001095,GIC,38,29,10,550.00,"5,500.00"
2020-12-24,2020122404001132,GIC,46,14,10,553.00,"5,530.00"
2020-12-24,2020122404001131,GIC,46,35,20,553.00,"11,060.00"
2020-12-24,2020122404001128,GIC,38,55,10,550.00,"5,500.00"
2020-12-24,2020122404001127,GIC,35,35,10,553.00,"5,530.00"
2020-12-24,2020122404001126,GIC,38,51,10,550.00,"5,500.00"
2020-12-24,2020122404001111,GIC,38,20,10,550.00,"5,500.00"
2020-12-24,2020122404001142,GIC,46,51,10,551.00,"5,510.00"
2020-12-24,2020122404001140,GIC,41,38,10,551.00,"5,510.00"
2020-12-24,2020122404001138,GIC,41,53,10,551.00,"5,510.00"
2020-12-24,2020122404001136,GIC,41,7,10,551.00,"5,510.00"
2020-12-24,2020122404001134,GIC,46,41,10,553.00,"5,530.00"
2020-12-24,2020122404001133,GIC,46,4,10,553.00,"5,530.00"
2020-12-24,2020122404001154,GIC,48,51,10,554.00,"5,540.00"
2020-12-24,2020122404001149,GIC,57,55,10,551.00,"5,510.00"
2020-12-24,2020122404001147,GIC,38,7,10,550.00,"5,500.00"
2020-12-24,2020122404001145,GIC,47,38,10,551.00,"5,510.00"
2020-12-24,2020122404001144,GIC,46,50,10,554.00,"5,540.00"
2020-12-24,2020122404001143,GIC,46,58,10,554.00,"5,540.00"
2020-12-24,2020122404001187,GIC,11,7,10,550.00,"5,500.00"
2020-12-24,2020122404001186,GIC,11,17,10,550.00,"5,500.00"
2020-12-24,2020122404001177,GIC,11,17,10,550.00,"5,500.00"
2020-12-24,2020122404001176,GIC,57,45,10,551.00,"5,510.00"
2020-12-24,2020122404001170,GIC,57,56,10,551.00,"5,510.00"
2020-12-24,2020122404001169,GIC,57,17,10,551.00,"5,510.00"
2020-12-24,2020122404001203,GIC,11,17,10,550.00,"5,500.00"
2020-12-24,2020122404001201,GIC,11,18,10,550.00,"5,500.00"
2020-12-24,2020122404001197,GIC,11,7,10,550.00,"5,500.00"
2020-12-24,2020122404001195,GIC,11,45,10,550.00,"5,500.00"
2020-12-24,2020122404001192,GIC,11,55,10,550.00,"5,500.00"
